Cycles,Time,CPU Frequency,GFLOPS, CPE
188313388.000000, 75445700.0000000000, 2496012204.804250, 0.444749, 5.6121762991
203847601.000000, 81669400.0000000000, 2496009533.558468, 0.410857, 6.0751319230
207565707.000000, 83158999.9999999851, 2496010137.207037, 0.403497, 6.1859401166
205670676.000000, 82399700.0000000149, 2496012436.938484, 0.407215, 6.1294637918
230744969.000000, 92445600.0000000000, 2496008128.023400, 0.362964, 6.8767359555
206428310.000000, 82703299.9999999851, 2496010558.224400, 0.405721, 6.1520430446
211217021.000000, 84621900.0000000149, 2496008964.582454, 0.396522, 6.2947577536
315741445.000000, 126498400.0000000000, 2496011372.475857, 0.265256, 9.4098283350
224729462.000000, 90035500.0000000149, 2496009485.147525, 0.372680, 6.6974598765
237004728.000000, 94953400.0000000000, 2496010969.591400, 0.353378, 7.0632913113
272738645.000000, 109269800.0000000149, 2496011203.461524, 0.307079, 8.1282450259
213018314.000000, 85343600.0000000149, 2496008066.217033, 0.393169, 6.3484404683
201212426.000000, 80613600.0000000000, 2496010921.234134, 0.416238, 5.9965975881
184561195.000000, 73942499.9999999851, 2496009669.675762, 0.453791, 5.5003522336
194119976.000000, 77772099.9999999851, 2496010471.621572, 0.431446, 5.7852261066
217167674.000000, 87005899.9999999851, 2496010891.215424, 0.385657, 6.4721010327
188602282.000000, 75561500.0000000149, 2496010296.248751, 0.444068, 5.6207860112
191013729.000000, 76527600.0000000000, 2496010968.591724, 0.438462, 5.6926527321
180399386.000000, 72275099.9999999851, 2496010188.847888, 0.464260, 5.3763206601
195480599.000000, 78317200.0000000000, 2496011080.580000, 0.428443, 5.8257758319
