Cycles,Time,CPU Frequency,GFLOPS, CPE
86093293.000000, 34492400.0000000000, 2496007613.271329, 0.972807, 2.5657800734
94519056.000000, 37868100.0000000000, 2496007351.834394, 0.886087, 2.8168873787
113811626.000000, 45597400.0000000075, 2496011307.662279, 0.735885, 3.3918507695
103175212.000000, 41336100.0000000000, 2496007412.407073, 0.811746, 3.0748609304
91294643.000000, 36576200.0000000075, 2496012242.933929, 0.917384, 2.7207923830
94754208.000000, 37962200.0000000075, 2496014667.221604, 0.883891, 2.8238954544
93528303.000000, 37471100.0000000000, 2496011672.995989, 0.895475, 2.7873606384
92825001.000000, 37189400.0000000000, 2496006953.594304, 0.902258, 2.7664006054
92075502.000000, 36889000.0000000000, 2496015126.460463, 0.909605, 2.7440637946
99763288.000000, 39969099.9999999925, 2496010368.009287, 0.839509, 2.9731776714
96975165.000000, 38852100.0000000000, 2496008323.874385, 0.863645, 2.8900851309
96310878.000000, 38585900.0000000000, 2496012222.081123, 0.869603, 2.8702878356
87714116.000000, 35141700.0000000000, 2496012315.852676, 0.954832, 2.6140843630
87859029.000000, 35199800.0000000000, 2496009323.916613, 0.953256, 2.6184031069
86737642.000000, 34750500.0000000000, 2496011337.966361, 0.965581, 2.5849831700
92588373.000000, 37094600.0000000000, 2496006777.266772, 0.904564, 2.7593485415
90487583.000000, 36252800.0000000075, 2496016390.458116, 0.925568, 2.6967401206
93014960.000000, 37265499.9999999925, 2496007298.976265, 0.900415, 2.7720618248
97043960.000000, 38879600.0000000075, 2496012304.653340, 0.863034, 2.8921353817
91461224.000000, 36643000.0000000000, 2496008077.941216, 0.915712, 2.7257568836
