Cycles,Time,CPU Frequency,GFLOPS, CPE
221735247.000000, 88835800.0000000000, 2496012272.079499, 0.377713, 6.6082253158
195983402.000000, 78518700.0000000000, 2496009256.393700, 0.427343, 5.8407605290
196000193.000000, 78525400.0000000000, 2496010119.018815, 0.427307, 5.8412609398
192506906.000000, 77125799.9999999851, 2496011788.532502, 0.435061, 5.7371528745
185333867.000000, 74252100.0000000000, 2496008422.657406, 0.451899, 5.5233796537
213756353.000000, 85639200.0000000000, 2496010623.639642, 0.391812, 6.3704357445
184449032.000000, 73897599.9999999851, 2496008422.465683, 0.454067, 5.4970095158
196018570.000000, 78532800.0000000149, 2496008928.753336, 0.427266, 5.8418086171
202212215.000000, 81014200.0000000000, 2496009526.724945, 0.414180, 6.0263936222
193979281.000000, 77715800.0000000000, 2496008289.176718, 0.431758, 5.7810330689
194817564.000000, 78051599.9999999851, 2496009870.393432, 0.429901, 5.8060158491
194087157.000000, 77758900.0000000000, 2496012122.085060, 0.431519, 5.7842480242
201909222.000000, 80892800.0000000000, 2496009805.569840, 0.414801, 6.0173637271
197519672.000000, 79134099.9999999851, 2496012111.087382, 0.424020, 5.8865449429
204945114.000000, 82109000.0000000000, 2496012787.879526, 0.408657, 6.1078403592
188089062.000000, 75355899.9999999851, 2496009761.677586, 0.445279, 5.6054908633
199289179.000000, 79843100.0000000000, 2496010037.185430, 0.420255, 5.9392803609
194801434.000000, 78045100.0000000000, 2496011075.647286, 0.429936, 5.8055351377
235124019.000000, 94199900.0000000000, 2496011343.961087, 0.356205, 7.0072418153
215399663.000000, 86297600.0000000000, 2496009889.035153, 0.388822, 6.4194101989
