Cycles,Time,CPU Frequency,GFLOPS, CPE
125838212.000000, 50415700.0000000000, 2496012392.964890, 0.665555, 3.7502709627
122492983.000000, 49075500.0000000000, 2496010901.570030, 0.683731, 3.6505753696
127298886.000000, 51000900.0000000000, 2496012540.955160, 0.657918, 3.7938024402
146607608.000000, 58736800.0000000000, 2496009452.336525, 0.571268, 4.3692471981
134401374.000000, 53846400.0000000075, 2496014106.792655, 0.623151, 4.0054730773
168776708.000000, 67618500.0000000149, 2496013783.210216, 0.496232, 5.0299378633
153416534.000000, 61464699.9999999925, 2496010458.035263, 0.545914, 4.5721690059
147558062.000000, 59117500.0000000075, 2496013227.893601, 0.567589, 4.3975729346
147122717.000000, 58943199.9999999925, 2496008309.694757, 0.569267, 4.3845986426
141964373.000000, 56876500.0000000000, 2496011059.048992, 0.589952, 4.2308680117
132718707.000000, 53172399.9999999925, 2496007458.756799, 0.631050, 3.9553256929
116769087.000000, 46782299.9999999925, 2496009965.307392, 0.717246, 3.4799899757
116935043.000000, 46848800.0000000075, 2496009353.494647, 0.716228, 3.4849358499
123303858.000000, 49400500.0000000075, 2496004250.969120, 0.679233, 3.6747413278
134233200.000000, 53779100.0000000075, 2496010531.972457, 0.623931, 4.0004611015
129266515.000000, 51789300.0000000000, 2496008152.263112, 0.647903, 3.8524423540
140994975.000000, 56488200.0000000000, 2496007573.263089, 0.594008, 4.2019777000
118064813.000000, 47301400.0000000000, 2496010963.734689, 0.709375, 3.5186056197
120189982.000000, 48152900.0000000000, 2496007135.603463, 0.696831, 3.5819405913
151486667.000000, 60691500.0000000000, 2496011253.635188, 0.552869, 4.5146544874
