Cycles,Time,CPU Frequency,GFLOPS, CPE
104104660.000000, 41708400.0000000000, 2496011834.546518, 0.804501, 3.1025606394
98006352.000000, 39265200.0000000000, 2496010513.126127, 0.854559, 2.9208168983
94707320.000000, 37943500.0000000000, 2496009066.111455, 0.884326, 2.8224980831
95283502.000000, 38174300.0000000075, 2496011767.078898, 0.878980, 2.8396696448
99528513.000000, 39875000.0000000075, 2496012865.203762, 0.841490, 2.9661808312
100150104.000000, 40124000.0000000000, 2496014953.643704, 0.836268, 2.9847056866
106227241.000000, 42558800.0000000000, 2496011189.225260, 0.788425, 3.1658184826
95372155.000000, 38209800.0000000000, 2496012933.854665, 0.878163, 2.8423117101
89398270.000000, 35816500.0000000000, 2496007985.146511, 0.936843, 2.6642760634
95060000.000000, 38084800.0000000075, 2496008906.440364, 0.881045, 2.8330087662
97841714.000000, 39199300.0000000000, 2496006663.384295, 0.855996, 2.9159103036
90921229.000000, 36426600.0000000000, 2496011952.803720, 0.921152, 2.7096637785
91853228.000000, 36800000.0000000000, 2496011630.434783, 0.911805, 2.7374395132
104187251.000000, 41741500.0000000000, 2496011187.906520, 0.803863, 3.1050220430
106809866.000000, 42792300.0000000000, 2496006664.750434, 0.784123, 3.1831820607
101559957.000000, 40688900.0000000000, 2496011369.194056, 0.824658, 3.0267225802
104272489.000000, 41775700.0000000000, 2496008181.789892, 0.803205, 3.1075623333
103704855.000000, 41548200.0000000000, 2496013184.686701, 0.807603, 3.0906455219
111842117.000000, 44808400.0000000000, 2496007824.425777, 0.748842, 3.3331548274
89407929.000000, 35820300.0000000000, 2496012847.463589, 0.936743, 2.6645639241
