Cycles,Time,CPU Frequency,GFLOPS, CPE
235045157.000000, 94168299.9999999851, 2496011470.951478, 0.356324, 7.0048915446
229981066.000000, 92139500.0000000000, 2496009485.616918, 0.364170, 6.8539698720
229311183.000000, 91871000.0000000000, 2496012702.593854, 0.365234, 6.8340058029
230789422.000000, 92463300.0000000000, 2496011087.642340, 0.362895, 6.8780607581
295724698.000000, 118479000.0000000000, 2496009402.510149, 0.283210, 8.8132827878
254390570.000000, 101918800.0000000000, 2496012217.569281, 0.329227, 7.5814297795
276905915.000000, 110939399.9999999851, 2496010569.734468, 0.302457, 8.2524393499
223202533.000000, 89423800.0000000000, 2496008143.245982, 0.375229, 6.6519538462
224134144.000000, 89796999.9999999851, 2496009265.342940, 0.373670, 6.6797180176
224761156.000000, 90048100.0000000149, 2496012197.925331, 0.372628, 6.6984044313
232685404.000000, 93223000.0000000000, 2496008538.665351, 0.359937, 6.9345654249
280047982.000000, 112198300.0000000000, 2496009137.393347, 0.299064, 8.3460802436
233264082.000000, 93454800.0000000000, 2496009643.164396, 0.359045, 6.9518113732
245455973.000000, 98339300.0000000149, 2496010984.418233, 0.341211, 7.3151580393
247862763.000000, 99303600.0000000000, 2496009842.543473, 0.337897, 7.3868859708
230442864.000000, 92324400.0000000000, 2496012581.722708, 0.363441, 6.8677325249
236330168.000000, 94683100.0000000000, 2496012150.003538, 0.354387, 7.0431878567
244572155.000000, 97985200.0000000149, 2496011183.321563, 0.342444, 7.2888182104
262370137.000000, 105115800.0000000000, 2496010466.552126, 0.319214, 7.8192394078
247282001.000000, 99070900.0000000149, 2496010443.026156, 0.338691, 7.3695779145
