Cycles,Time,CPU Frequency,GFLOPS, CPE
5005.000000, 2000.0000000000, 2502500000.000000, 1.024000, 2.4438476562
4774.000000, 1900.0000000000, 2512631578.947369, 1.077895, 2.3310546875
4853.000000, 1900.0000000000, 2554210526.315789, 1.077895, 2.3696289062
4798.000000, 1900.0000000000, 2525263157.894737, 1.077895, 2.3427734375
4772.000000, 1900.0000000000, 2511578947.368421, 1.077895, 2.3300781250
4806.000000, 2000.0000000000, 2403000000.000000, 1.024000, 2.3466796875
4779.000000, 1900.0000000000, 2515263157.894737, 1.077895, 2.3334960938
4785.000000, 1900.0000000000, 2518421052.631579, 1.077895, 2.3364257812
4769.000000, 1900.0000000000, 2510000000.000000, 1.077895, 2.3286132812
4737.000000, 1900.0000000000, 2493157894.736842, 1.077895, 2.3129882812
4745.000000, 1900.0000000000, 2497368421.052631, 1.077895, 2.3168945312
4974.000000, 2000.0000000000, 2487000000.000000, 1.024000, 2.4287109375
4974.000000, 2000.0000000000, 2487000000.000000, 1.024000, 2.4287109375
4776.000000, 1900.0000000000, 2513684210.526316, 1.077895, 2.3320312500
4922.000000, 1900.0000000000, 2590526315.789474, 1.077895, 2.4033203125
4938.000000, 2000.0000000000, 2469000000.000000, 1.024000, 2.4111328125
4990.000000, 2000.0000000000, 2495000000.000000, 1.024000, 2.4365234375
4926.000000, 2000.0000000000, 2463000000.000000, 1.024000, 2.4052734375
4983.000000, 2000.0000000000, 2491500000.000000, 1.024000, 2.4331054688
4967.000000, 2000.0000000000, 2483500000.000000, 1.024000, 2.4252929688
