Cycles,Time,CPU Frequency,GFLOPS, CPE
4942.000000, 1900.0000000000, 2601052631.578948, 1.077895, 2.4130859375
4897.000000, 2000.0000000000, 2448500000.000000, 1.024000, 2.3911132812
5025.000000, 2000.0000000000, 2512500000.000000, 1.024000, 2.4536132812
5025.000000, 2000.0000000000, 2512500000.000000, 1.024000, 2.4536132812
4991.000000, 2000.0000000000, 2495500000.000000, 1.024000, 2.4370117188
5007.000000, 2000.0000000000, 2503500000.000000, 1.024000, 2.4448242188
5007.000000, 2000.0000000000, 2503500000.000000, 1.024000, 2.4448242188
5007.000000, 2000.0000000000, 2503500000.000000, 1.024000, 2.4448242188
5011.000000, 2000.0000000000, 2505500000.000000, 1.024000, 2.4467773438
5007.000000, 2000.0000000000, 2503500000.000000, 1.024000, 2.4448242188
5044.000000, 2000.0000000000, 2522000000.000000, 1.024000, 2.4628906250
5003.000000, 2000.0000000000, 2501500000.000000, 1.024000, 2.4428710938
4999.000000, 2000.0000000000, 2499500000.000000, 1.024000, 2.4409179688
5019.000000, 2000.0000000000, 2509500000.000000, 1.024000, 2.4506835938
4995.000000, 2000.0000000000, 2497500000.000000, 1.024000, 2.4389648438
4989.000000, 2000.0000000000, 2494500000.000000, 1.024000, 2.4360351562
4991.000000, 2000.0000000000, 2495500000.000000, 1.024000, 2.4370117188
4993.000000, 2000.0000000000, 2496500000.000000, 1.024000, 2.4379882812
4987.000000, 2000.0000000000, 2493500000.000000, 1.024000, 2.4350585938
5036.000000, 2000.0000000000, 2518000000.000000, 1.024000, 2.4589843750
