Cycles,Time,CPU Frequency,GFLOPS, CPE
4900.000000, 1900.0000000000, 2578947368.421052, 1.077895, 2.3925781250
4958.000000, 2000.0000000000, 2479000000.000000, 1.024000, 2.4208984375
4983.000000, 2000.0000000000, 2491500000.000000, 1.024000, 2.4331054688
4983.000000, 2000.0000000000, 2491500000.000000, 1.024000, 2.4331054688
5064.000000, 2000.0000000000, 2532000000.000000, 1.024000, 2.4726562500
4916.000000, 2000.0000000000, 2458000000.000000, 1.024000, 2.4003906250
4962.000000, 1900.0000000000, 2611578947.368421, 1.077895, 2.4228515625
4893.000000, 1900.0000000000, 2575263157.894737, 1.077895, 2.3891601562
4875.000000, 1900.0000000000, 2565789473.684210, 1.077895, 2.3803710938
4871.000000, 1900.0000000000, 2563684210.526316, 1.077895, 2.3784179688
4879.000000, 2000.0000000000, 2439500000.000000, 1.024000, 2.3823242188
4885.000000, 2000.0000000000, 2442500000.000000, 1.024000, 2.3852539062
4855.000000, 2000.0000000000, 2427500000.000000, 1.024000, 2.3706054688
4867.000000, 2000.0000000000, 2433500000.000000, 1.024000, 2.3764648438
5077.000000, 2000.0000000000, 2538500000.000000, 1.024000, 2.4790039062
4879.000000, 2000.0000000000, 2439500000.000000, 1.024000, 2.3823242188
4928.000000, 1900.0000000000, 2593684210.526316, 1.077895, 2.4062500000
4906.000000, 2000.0000000000, 2453000000.000000, 1.024000, 2.3955078125
4938.000000, 2000.0000000000, 2469000000.000000, 1.024000, 2.4111328125
4988.000000, 2000.0000000000, 2494000000.000000, 1.024000, 2.4355468750
