Cycles,Time,CPU Frequency,GFLOPS, CPE
363425.000000, 145600.0000000000, 2496050824.175824, 0.900220, 2.7727127075
364157.000000, 145900.0000000000, 2495935572.309801, 0.898369, 2.7782974243
407240.000000, 163200.0000000000, 2495343137.254902, 0.803137, 3.1069946289
355446.000000, 142400.0000000000, 2496109550.561798, 0.920449, 2.7118377686
544990.000000, 218300.0000000000, 2496518552.450756, 0.600421, 4.1579437256
455223.000000, 182400.0000000000, 2495740131.578948, 0.718596, 3.4730758667
423624.000000, 169700.0000000000, 2496311137.301119, 0.772375, 3.2319946289
418303.000000, 167600.0000000000, 2495841288.782816, 0.782053, 3.1913986206
410613.000000, 164500.0000000000, 2496127659.574468, 0.796790, 3.1327285767
456524.000000, 182900.0000000000, 2496030617.823947, 0.716632, 3.4830017090
385799.000000, 154600.0000000000, 2495465717.981889, 0.847814, 2.9434127808
440546.000000, 176500.0000000000, 2496011331.444759, 0.742618, 3.3610992432
387691.000000, 155300.0000000000, 2496400515.132002, 0.843992, 2.9578475952
409104.000000, 163900.0000000000, 2496058572.300183, 0.799707, 3.1212158203
330379.000000, 132300.0000000000, 2497195767.195767, 0.990718, 2.5205917358
625225.000000, 250500.0000000000, 2495908183.632734, 0.523242, 4.7700881958
403603.000000, 161700.0000000000, 2495998763.141620, 0.810588, 3.0792465210
400380.000000, 160400.0000000000, 2496134663.341646, 0.817157, 3.0546569824
400359.000000, 160400.0000000000, 2496003740.648379, 0.817157, 3.0544967651
425049.000000, 170300.0000000000, 2495883734.586025, 0.769654, 3.2428665161
