Cycles,Time,CPU Frequency,GFLOPS, CPE
777144.000000, 311300.0000000000, 2496447157.083200, 0.421047, 5.9291381836
1067776.000000, 427799.9999999999, 2495970079.476391, 0.306386, 8.1464843750
788960.000000, 316100.0000000000, 2495919012.970579, 0.414654, 6.0192871094
772724.000000, 309600.0000000000, 2495878552.971576, 0.423359, 5.8954162598
802723.000000, 321600.0000000000, 2496029228.855721, 0.407562, 6.1242904663
740665.000000, 296800.0000000001, 2495502021.563342, 0.441617, 5.6508255005
793682.000000, 318000.0000000000, 2495855345.911950, 0.412176, 6.0553131104
700641.000000, 280699.9999999999, 2496049162.807268, 0.466947, 5.3454666138
837555.000000, 335500.0000000000, 2496438152.011922, 0.390677, 6.3900375366
759177.000000, 304200.0000000001, 2495650887.573964, 0.430874, 5.7920608521
802513.000000, 321500.0000000001, 2496152410.575428, 0.407689, 6.1226882935
770134.000000, 308500.0000000000, 2496382495.948136, 0.424869, 5.8756561279
697137.000000, 279300.0000000000, 2496015037.593985, 0.469288, 5.3187332153
733052.000000, 293699.9999999999, 2495921007.831120, 0.446279, 5.5927429199
775720.000000, 310800.0000000001, 2495881595.881596, 0.421725, 5.9182739258
739619.000000, 296300.0000000000, 2496182922.713466, 0.442362, 5.6428451538
786033.000000, 314900.0000000000, 2496135281.041600, 0.416234, 5.9969558716
1073920.000000, 430200.0000000000, 2496327289.632729, 0.304677, 8.1933593750
719586.000000, 288300.0000000000, 2495962539.021852, 0.454638, 5.4900054932
757355.000000, 303400.0000000000, 2496226104.152934, 0.432011, 5.7781600952
