Cycles,Time,CPU Frequency,GFLOPS, CPE
312421.000000, 125200.0000000000, 2495375399.361022, 1.046901, 2.3835830688
300475.000000, 120400.0000000000, 2495639534.883721, 1.088638, 2.2924423218
302627.000000, 121200.0000000000, 2496922442.244225, 1.081452, 2.3088607788
302281.000000, 121100.0000000000, 2496127167.630058, 1.082345, 2.3062210083
312807.000000, 125400.0000000000, 2494473684.210526, 1.045231, 2.3865280151
335897.000000, 134600.0000000000, 2495520059.435364, 0.973789, 2.5626907349
364674.000000, 146100.0000000000, 2496057494.866530, 0.897139, 2.7822418213
322855.000000, 129400.0000000000, 2495015455.950541, 1.012921, 2.4631881714
315380.000000, 126300.0000000000, 2497070467.141726, 1.037783, 2.4061584473
301040.000000, 120600.0000000000, 2496185737.976783, 1.086833, 2.2967529297
299587.000000, 120000.0000000000, 2496558333.333333, 1.092267, 2.2856674194
309621.000000, 124100.0000000000, 2494931506.849315, 1.056180, 2.3622207642
306288.000000, 122700.0000000000, 2496234718.826406, 1.068231, 2.3367919922
340212.000000, 136300.0000000000, 2496052824.651504, 0.961643, 2.5956115723
328739.000000, 131700.0000000000, 2496119969.627942, 0.995232, 2.5080795288
300996.000000, 120600.0000000000, 2495820895.522388, 1.086833, 2.2964172363
308450.000000, 123500.0000000000, 2497570850.202429, 1.061312, 2.3532867432
305835.000000, 122500.0000000000, 2496612244.897959, 1.069976, 2.3333358765
343963.000000, 137800.0000000000, 2496103047.895501, 0.951176, 2.6242294312
404243.000000, 162000.0000000000, 2495327160.493827, 0.809086, 3.0841293335
