Cycles,Time,CPU Frequency,GFLOPS, CPE
7979319.000000, 3196799.9999999995, 2496033220.720721, 0.656016, 3.8048357964
8018865.000000, 3212700.0000000000, 2495989354.748343, 0.652769, 3.8236927986
8229447.000000, 3297000.0000000000, 2496040946.314832, 0.636079, 3.9241061211
7337168.000000, 2939600.0000000000, 2495974962.579943, 0.713414, 3.4986343384
7278902.000000, 2916199.9999999995, 2496022906.522187, 0.719139, 3.4708509445
9041368.000000, 3622300.0000000005, 2496029594.456561, 0.578956, 4.3112602234
7372115.000000, 2953500.0000000000, 2496060606.060606, 0.710057, 3.5152983665
7902117.000000, 3165900.0000000005, 2496009665.497962, 0.662419, 3.7680230141
7117264.000000, 2851499.9999999995, 2495971944.590567, 0.735456, 3.3937759399
7615361.000000, 3051000.0000000000, 2496021304.490331, 0.687365, 3.6312870979
8232862.000000, 3298400.0000000000, 2496016856.657773, 0.635809, 3.9257345200
8451526.000000, 3386000.0000000005, 2496020673.360898, 0.619360, 4.0300016403
7569285.000000, 3032600.0000000000, 2495972103.145815, 0.691536, 3.6093163490
7977836.000000, 3196200.0000000005, 2496037794.881422, 0.656139, 3.8041286469
9535886.000000, 3820499.9999999995, 2495978536.840728, 0.548921, 4.5470647812
8203664.000000, 3286700.0000000000, 2496018498.798187, 0.638072, 3.9118118286
8964760.000000, 3591700.0000000005, 2495965698.694211, 0.583888, 4.2747306824
8006761.000000, 3207799.9999999995, 2496028742.440302, 0.653766, 3.8179211617
7385682.000000, 2959000.0000000000, 2496006083.136195, 0.708737, 3.5217676163
7872042.000000, 3153800.0000000000, 2496049844.631873, 0.664960, 3.7536821365
