Cycles,Time,CPU Frequency,GFLOPS, CPE
13340781.000000, 5344800.0000000000, 2496029973.057925, 0.392372, 6.3613801003
11917535.000000, 4774600.0000000000, 2496027939.513258, 0.439231, 5.6827235222
12959928.000000, 5192300.0000000000, 2495989831.096046, 0.403897, 6.1797752380
11976526.000000, 4798300.0000000009, 2495993581.059958, 0.437061, 5.7108526230
11396907.000000, 4565999.9999999991, 2496037450.722733, 0.459297, 5.4344687462
14022578.000000, 5618000.0000000000, 2496008899.964400, 0.373292, 6.6864862442
11580138.000000, 4639400.0000000000, 2496042160.624218, 0.452031, 5.5218400955
12103319.000000, 4849100.0000000000, 2495992864.655297, 0.432483, 5.7713122368
13334214.000000, 5342200.0000000000, 2496015499.232526, 0.392563, 6.3582487106
11750411.000000, 4707700.0000000000, 2495998258.172781, 0.445473, 5.6030325890
13964741.000000, 5594800.0000000000, 2496021484.235362, 0.374839, 6.6589074135
11785073.000000, 4721500.0000000000, 2496044265.593561, 0.444171, 5.6195607185
11733544.000000, 4700900.0000000000, 2496020761.981748, 0.446117, 5.5949897766
13448827.000000, 5388100.0000000000, 2496024015.886862, 0.389219, 6.4129004478
24639020.000000, 9871400.0000000019, 2496000567.295419, 0.212447, 11.7488002777
18273135.000000, 7320900.0000000000, 2496023029.955333, 0.286461, 8.7133097649
14182023.000000, 5681900.0000000000, 2496000105.598479, 0.369093, 6.7625155449
15188483.000000, 6085100.0000000000, 2496012062.250415, 0.344637, 7.2424330711
17271879.000000, 6919800.0000000009, 2496008410.647707, 0.303065, 8.2358736992
16582574.000000, 6643600.0000000000, 2496022337.287013, 0.315665, 7.9071874619
