Cycles,Time,CPU Frequency,GFLOPS, CPE
22354199.000000, 8956000.0000000000, 2496002568.110764, 0.234162, 10.6593127251
22634920.000000, 9068400.0000000019, 2496021348.859776, 0.231259, 10.7931709290
22748970.000000, 9114200.0000000000, 2495991968.576507, 0.230097, 10.8475542068
23649958.000000, 9475100.0000000000, 2496011440.512501, 0.221333, 11.2771787643
22580632.000000, 9046600.0000000000, 2496035195.543077, 0.231817, 10.7672843933
26709302.000000, 10700800.0000000000, 2496009831.040670, 0.195981, 12.7359876633
23690587.000000, 9491300.0000000000, 2496031839.684764, 0.220955, 11.2965521812
23211632.000000, 9299500.0000000000, 2496008602.613044, 0.225512, 11.0681686401
24205013.000000, 9697400.0000000000, 2496031204.240312, 0.216259, 11.5418496132
24083245.000000, 9648700.0000000000, 2496009306.953269, 0.217351, 11.4837861061
23491882.000000, 9411700.0000000000, 2496029622.703656, 0.222824, 11.2018022537
25018349.000000, 10023300.0000000000, 2496019175.321501, 0.209228, 11.9296784401
22930590.000000, 9186900.0000000000, 2496009535.316592, 0.228276, 10.9341573715
24153803.000000, 9677000.0000000019, 2496001136.715924, 0.216715, 11.5174307823
22559847.000000, 9038400.0000000019, 2496000066.383430, 0.232027, 10.7573733330
23410578.000000, 9379200.0000000000, 2496010107.471852, 0.223596, 11.1630334854
22164264.000000, 8879900.0000000000, 2496003783.826395, 0.236168, 10.5687446594
21905191.000000, 8776100.0000000000, 2496005173.140689, 0.238962, 10.4452090263
22726801.000000, 9105200.0000000000, 2496024359.706541, 0.230325, 10.8369832039
28821933.000000, 11547200.0000000000, 2496010548.011639, 0.181616, 13.7433686256
