Cycles,Time,CPU Frequency,GFLOPS, CPE
13012856.000000, 5213500.0000000009, 2495992327.611010, 0.402254, 6.2050132751
15085486.000000, 6043900.0000000000, 2495985373.682556, 0.346987, 7.1933202744
12848648.000000, 5147700.0000000000, 2495997824.271034, 0.407396, 6.1267127991
15376883.000000, 6160599.9999999991, 2496004122.975035, 0.340414, 7.3322691917
13566002.000000, 5435100.0000000009, 2495998601.681662, 0.385853, 6.4687738419
15567791.000000, 6237099.9999999991, 2495998300.492216, 0.336238, 7.4233012199
17157783.000000, 6874100.0000000009, 2496004276.923524, 0.305080, 8.1814684868
14148351.000000, 5668399.9999999991, 2496004339.848988, 0.369972, 6.7464594841
13872586.000000, 5557900.0000000009, 2496012162.867270, 0.377328, 6.6149644852
13582175.000000, 5441499.9999999991, 2496035100.615639, 0.385400, 6.4764857292
14946910.000000, 5988300.0000000000, 2496018903.528547, 0.350208, 7.1272420883
12351988.000000, 4948700.0000000000, 2496006628.003314, 0.423778, 5.8898868561
13070713.000000, 5236700.0000000000, 2495982775.411996, 0.400472, 6.2326016426
14016405.000000, 5615600.0000000000, 2495976387.207066, 0.373451, 6.6835427284
13643736.000000, 5466200.0000000000, 2496018440.598588, 0.383658, 6.5058403015
17324749.000000, 6940900.0000000009, 2496037833.710326, 0.302144, 8.2610840797
13026475.000000, 5218900.0000000000, 2496019276.092663, 0.401838, 6.2115073204
14411325.000000, 5773700.0000000000, 2496029409.217659, 0.363225, 6.8718552589
12857869.000000, 5151400.0000000000, 2495995069.301549, 0.407103, 6.1311097145
12771340.000000, 5116700.0000000000, 2496011100.904880, 0.409864, 6.0898494720
