Cycles,Time,CPU Frequency,GFLOPS, CPE
6958829.000000, 2787900.0000000000, 2496082714.588041, 0.752234, 3.3182282448
6547087.000000, 2623000.0000000000, 2496030118.185284, 0.799524, 3.1218943596
8027559.000000, 3216100.0000000005, 2496053916.233948, 0.652079, 3.8278384209
7430491.000000, 2977000.0000000005, 2495966073.228082, 0.704451, 3.5431342125
6818240.000000, 2731900.0000000005, 2495786815.037153, 0.767653, 3.2511901855
6668458.000000, 2671699.9999999995, 2495960624.321593, 0.784950, 3.1797685623
8485861.000000, 3399699.9999999995, 2496061711.327470, 0.616864, 4.0463738441
7886848.000000, 3159799.9999999995, 2495995949.110703, 0.663698, 3.7607421875
6897011.000000, 2763199.9999999995, 2496023089.171975, 0.758958, 3.2887511253
7169346.000000, 2872300.0000000000, 2496029662.639697, 0.730130, 3.4186105728
6953980.000000, 2785999.9999999995, 2496044508.255564, 0.752747, 3.3159160614
7674690.000000, 3074799.9999999995, 2495996487.576428, 0.682045, 3.6595773697
9872759.000000, 3955400.0000000005, 2496020377.205845, 0.530200, 4.7076983452
7746615.000000, 3103600.0000000005, 2496009472.870215, 0.675716, 3.6938738823
9603165.000000, 3847400.0000000005, 2496014191.401986, 0.545083, 4.5791459084
9317799.000000, 3733099.9999999995, 2495995017.545740, 0.561772, 4.4430727959
8468123.000000, 3392699.9999999995, 2495983435.022254, 0.618137, 4.0379157066
9340750.000000, 3742200.0000000005, 2496058468.280690, 0.560406, 4.4540166855
8772361.000000, 3514500.0000000000, 2496048086.498791, 0.596714, 4.1829876900
8284181.000000, 3319000.0000000000, 2495987044.290449, 0.631863, 3.9502053261
