Cycles,Time,CPU Frequency,GFLOPS, CPE
11283552.000000, 4520699.9999999991, 2495974517.220785, 0.463900, 5.3804168701
9700854.000000, 3886500.0000000005, 2496038595.137012, 0.539599, 4.6257276535
9453015.000000, 3787299.9999999995, 2495977345.338368, 0.553733, 4.5075488091
9871840.000000, 3955099.9999999995, 2495977345.705545, 0.530240, 4.7072601318
9078837.000000, 3637299.9999999995, 2496037445.357821, 0.576568, 4.3291268349
9714070.000000, 3891899.9999999995, 2495971119.504612, 0.538850, 4.6320295334
8906564.000000, 3568299.9999999995, 2496024437.407169, 0.587717, 4.2469806671
8600485.000000, 3445700.0000000000, 2496005165.858897, 0.608629, 4.1010308266
9213853.000000, 3691500.0000000000, 2495964513.070568, 0.568103, 4.3935074806
8710138.000000, 3489599.9999999995, 2496027624.942687, 0.600972, 4.1533174515
8294561.000000, 3323099.9999999991, 2496031115.524661, 0.631083, 3.9551548958
8619398.000000, 3453199.9999999995, 2496061044.827986, 0.607307, 4.1100492477
10412800.000000, 4171800.0000000005, 2495996931.780047, 0.502697, 4.9652099609
11345805.000000, 4545500.0000000000, 2496052139.478605, 0.461369, 5.4101014137
10060797.000000, 4030700.0000000000, 2496042126.677748, 0.520295, 4.7973618507
10158102.000000, 4069700.0000000000, 2496032139.961176, 0.515309, 4.8437604904
10404109.000000, 4168300.0000000000, 2496007724.971811, 0.503119, 4.9610657692
9968226.000000, 3993599.9999999995, 2496050180.288462, 0.525128, 4.7532205582
9352221.000000, 3746900.0000000005, 2495988950.866049, 0.559703, 4.4594864845
10170910.000000, 4074900.0000000000, 2495990085.646274, 0.514651, 4.8498678207
