Cycles,Time,CPU Frequency,GFLOPS, CPE
81639260.000000, 32707899.9999999963, 2496010443.960022, 1.025882, 2.4330395460
82152360.000000, 32913500.0000000000, 2496008021.024807, 1.019473, 2.4483311176
80724933.000000, 32341600.0000000000, 2496009257.426967, 1.037501, 2.4057904780
78641611.000000, 31506900.0000000000, 2496012333.806246, 1.064987, 2.3437026441
78719060.000000, 31537900.0000000000, 2496014636.358160, 1.063940, 2.3460108042
93132562.000000, 37312600.0000000075, 2496008372.506874, 0.899279, 2.7755666375
85569651.000000, 34282600.0000000075, 2496008208.245582, 0.978760, 2.5501743257
76991127.000000, 30845700.0000000000, 2496008422.567813, 1.087816, 2.2945143878
80515085.000000, 32257500.0000000000, 2496011315.198016, 1.040206, 2.3995365202
78946528.000000, 31629100.0000000000, 2496009307.884195, 1.060872, 2.3527898788
74532577.000000, 29860700.0000000037, 2496009035.287183, 1.123699, 2.2212438881
78267156.000000, 31356900.0000000000, 2496010638.806770, 1.070081, 2.3325430155
88302374.000000, 35377400.0000000000, 2496010843.080611, 0.948471, 2.6316158175
93620003.000000, 37507899.9999999925, 2496007587.734851, 0.894596, 2.7900935113
77198745.000000, 30928800.0000000000, 2496014879.335765, 1.084893, 2.3007018864
78210164.000000, 31334099.9999999963, 2496007991.293830, 1.070860, 2.3308445215
81530168.000000, 32664200.0000000000, 2496009943.607987, 1.027254, 2.4297883511
76549894.000000, 30668900.0000000000, 2496010420.980211, 1.094087, 2.2813646197
79400720.000000, 31811000.0000000000, 2496014586.149445, 1.054806, 2.3663258553
80999940.000000, 32451800.0000000075, 2496007617.451112, 1.033978, 2.4139863253
