Cycles,Time,CPU Frequency,GFLOPS, CPE
81136760.000000, 32506600.0000000000, 2496008810.518479, 1.032234, 2.4180638790
85009123.000000, 34058000.0000000000, 2496010423.395384, 0.985214, 2.5334692895
87294340.000000, 34973600.0000000000, 2496006702.198229, 0.959422, 2.6015740633
81998424.000000, 32851799.9999999963, 2496010081.639362, 1.021388, 2.4437434673
74195212.000000, 29725500.0000000000, 2496012245.378547, 1.128810, 2.2111896276
102992620.000000, 41262900.0000000000, 2496010217.410798, 0.813186, 3.0694192648
96497206.000000, 38660600.0000000000, 2496009011.758741, 0.867923, 2.8758408427
80661452.000000, 32316200.0000000037, 2496006708.709563, 1.038316, 2.4038985968
81169466.000000, 32519699.9999999963, 2496009065.274280, 1.031819, 2.4190385938
77338934.000000, 30985000.0000000037, 2496012070.356624, 1.082925, 2.3048798442
80487153.000000, 32246299.9999999963, 2496012038.590474, 1.040567, 2.3987040818
87209131.000000, 34939400.0000000000, 2496011122.114289, 0.960361, 2.5990346372
76667173.000000, 30715900.0000000000, 2496009330.672388, 1.092412, 2.2848598063
72699024.000000, 29126099.9999999963, 2496009558.437278, 1.152040, 2.1665997505
92680245.000000, 37131400.0000000000, 2496007287.632570, 0.903667, 2.7620865405
84076751.000000, 33684400.0000000000, 2496014505.230908, 0.996142, 2.5056824386
76329140.000000, 30580500.0000000037, 2496006932.522359, 1.097249, 2.2747856379
79954011.000000, 32032700.0000000000, 2496012231.251190, 1.047506, 2.3828152120
78338696.000000, 31385600.0000000037, 2496007595.840130, 1.069103, 2.3346750736
80056917.000000, 32073900.0000000037, 2496014422.942018, 1.046160, 2.3858820498
