Cycles,Time,CPU Frequency,GFLOPS, CPE
81499152.000000, 32651800.0000000037, 2496007938.306617, 1.027644, 2.4288640022
82269773.000000, 32960499.9999999963, 2496011073.861137, 1.018020, 2.4518302977
82098189.000000, 32891799.9999999963, 2496007789.175418, 1.020146, 2.4467166960
82748776.000000, 33152400.0000000000, 2496011631.133794, 1.012127, 2.4661056995
88692425.000000, 35533600.0000000000, 2496015742.846208, 0.944302, 2.6432402432
82846413.000000, 33191500.0000000037, 2496012924.995857, 1.010934, 2.4690155089
82675090.000000, 33122900.0000000000, 2496010011.200710, 1.013028, 2.4639096856
82101508.000000, 32893100.0000000037, 2496010044.659822, 1.020105, 2.4468156099
79607106.000000, 31893699.9999999963, 2496013507.369794, 1.052071, 2.3724766374
78202526.000000, 31331500.0000000000, 2495971338.748544, 1.070949, 2.3306168914
82866683.000000, 33199699.9999999963, 2496006981.990801, 1.010685, 2.4696196020
79924253.000000, 32020800.0000000000, 2496010499.425374, 1.047895, 2.3819283545
77479375.000000, 31041300.0000000000, 2496009348.835261, 1.080961, 2.3090653121
88744764.000000, 35554900.0000000000, 2495992507.361855, 0.943736, 2.6448000669
79403205.000000, 31812100.0000000037, 2496006393.793556, 1.054769, 2.3663999140
77739386.000000, 31145499.9999999963, 2496006999.406014, 1.077344, 2.3168142438
78666949.000000, 31517099.9999999963, 2496008484.283135, 1.064642, 2.3444577754
77330601.000000, 30981700.0000000000, 2496008966.583499, 1.083040, 2.3046315014
101588416.000000, 40700300.0000000000, 2496011479.030867, 0.824427, 3.0275707245
82014515.000000, 32858200.0000000000, 2496013628.257178, 1.021189, 2.4442230165
