Cycles,Time,CPU Frequency,GFLOPS, CPE
195454619.000000, 78306800.0000000000, 2496010806.213509, 0.428500, 5.8250015676
184111978.000000, 73762500.0000000000, 2496010547.364853, 0.454898, 5.4869645238
184275315.000000, 73828000.0000000000, 2496008492.712792, 0.454495, 5.4918323457
196592601.000000, 78762700.0000000149, 2496011449.582099, 0.426019, 5.8589160740
235991066.000000, 94547300.0000000149, 2496010631.715554, 0.354896, 7.0330818295
200816042.000000, 80454800.0000000149, 2496010704.146924, 0.417059, 5.9847844243
193851194.000000, 77664400.0000000000, 2496010965.126879, 0.432044, 5.7772157788
189793820.000000, 76038800.0000000149, 2496012825.031431, 0.441280, 5.6562966108
203311712.000000, 81454600.0000000000, 2496012649.991529, 0.411940, 6.0591611862
232489188.000000, 93144299.9999999851, 2496010899.217666, 0.360241, 6.9287177324
208508362.000000, 83536700.0000000149, 2496009083.432790, 0.401673, 6.2140334249
224234137.000000, 89836999.9999999851, 2496010964.302014, 0.373503, 6.6826980412
191835183.000000, 76856800.0000000000, 2496007939.440622, 0.436584, 5.7171339691
187961797.000000, 75304900.0000000000, 2496010179.948450, 0.445581, 5.6016980708
195328953.000000, 78256500.0000000149, 2496009315.520116, 0.428775, 5.8212564290
210195894.000000, 84212700.0000000000, 2496011812.945078, 0.398449, 6.2643257976
214855399.000000, 86079500.0000000000, 2496011233.801311, 0.389807, 6.4031898677
215718782.000000, 86425400.0000000000, 2496011380.913481, 0.388247, 6.4289206862
215731259.000000, 86430400.0000000000, 2496011345.545086, 0.388225, 6.4292925298
194172388.000000, 77793100.0000000000, 2496010417.376348, 0.431329, 5.7867881060
