Cycles,Time,CPU Frequency,GFLOPS, CPE
407488727.000000, 163256100.0000000000, 2496009196.593573, 0.205532, 12.1441104114
421032309.000000, 168682200.0000000000, 2496009116.551717, 0.198921, 12.5477406085
606943160.000000, 243165400.0000000000, 2496009547.410939, 0.137990, 18.0883157253
451046771.000000, 180707100.0000000298, 2496010234.240934, 0.185684, 13.4422412813
464983270.000000, 186290600.0000000000, 2496010373.040830, 0.180119, 13.8575813174
432585892.000000, 173311000.0000000000, 2496009439.677805, 0.193608, 12.8920642138
439047346.000000, 175899700.0000000000, 2496009635.036331, 0.190759, 13.0846305490
431440573.000000, 172852100.0000000000, 2496010016.655858, 0.194122, 12.8579310477
407327008.000000, 163191200.0000000000, 2496010863.330866, 0.205614, 12.1392908096
434448704.000000, 174057300.0000000000, 2496009670.378663, 0.192778, 12.9475803375
428040889.000000, 171490000.0000000000, 2496010781.969794, 0.195664, 12.7566125691
381960976.000000, 153028600.0000000000, 2496010392.828530, 0.219269, 11.3833241463
427173308.000000, 171142500.0000000000, 2496009512.540719, 0.196061, 12.7307566404
383263272.000000, 153550400.0000000298, 2496009596.848982, 0.218524, 11.4221355915
440098549.000000, 176320800.0000000000, 2496010391.286791, 0.190303, 13.1159588397
431062262.000000, 172700500.0000000000, 2496010503.733342, 0.194293, 12.8466565013
446324211.000000, 178815000.0000000000, 2496011022.565221, 0.187649, 13.3014980257
453840783.000000, 181826400.0000000000, 2496011486.780797, 0.184541, 13.5255093277
679344994.000000, 272172300.0000000000, 2496010776.996778, 0.123284, 20.2460585237
494038077.000000, 197931099.9999999702, 2496010364.212597, 0.169526, 14.7234820426
