Cycles,Time,CPU Frequency,GFLOPS, CPE
255215668.000000, 102249400.0000000149, 2496011399.577895, 0.328163, 7.6060196161
249155941.000000, 99821699.9999999851, 2496009795.465315, 0.336144, 7.4254256785
232166994.000000, 93015200.0000000149, 2496011340.082051, 0.360741, 6.9191156030
247196032.000000, 99036400.0000000000, 2496011890.577606, 0.338809, 7.3670158386
289327013.000000, 115915800.0000000000, 2496010147.020510, 0.289472, 8.6226169169
265732905.000000, 106463000.0000000000, 2496011806.918836, 0.315175, 7.9194577038
249841554.000000, 100096400.0000000000, 2496009386.950979, 0.335221, 7.4458585382
265004821.000000, 106171300.0000000000, 2496011831.822724, 0.316041, 7.8977591097
289861347.000000, 116129800.0000000000, 2496011764.422224, 0.288939, 8.6385413110
248376003.000000, 99509200.0000000149, 2496010449.285091, 0.337199, 7.4021817148
242504468.000000, 97156800.0000000000, 2496011272.499712, 0.345364, 7.2271963358
237843865.000000, 95289600.0000000149, 2496010739.891866, 0.352131, 7.0882995427
240114569.000000, 96199300.0000000000, 2496011602.995032, 0.348801, 7.1559717953
241021708.000000, 96562800.0000000000, 2496009933.431922, 0.347488, 7.1830066442
264184002.000000, 105842500.0000000149, 2496010600.656636, 0.317022, 7.8732967973
225884364.000000, 90498200.0000000000, 2496009467.591620, 0.370775, 6.7318786383
245735803.000000, 98451399.9999999851, 2496011260.378217, 0.340822, 7.3234976232
242728559.000000, 97246200.0000000000, 2496021016.759524, 0.345046, 7.2338747680
251716159.000000, 100847399.9999999851, 2496010397.888295, 0.332725, 7.5017261207
275963124.000000, 110556700.0000000000, 2496123021.038074, 0.303504, 8.2243419886
