Cycles,Time,CPU Frequency,GFLOPS, CPE
4989.000000, 2000.0000000000, 2494500000.000000, 1.024000, 2.4360351562
5021.000000, 2000.0000000000, 2510500000.000000, 1.024000, 2.4516601562
5009.000000, 2000.0000000000, 2504500000.000000, 1.024000, 2.4458007812
4924.000000, 1900.0000000000, 2591578947.368421, 1.077895, 2.4042968750
5007.000000, 2000.0000000000, 2503500000.000000, 1.024000, 2.4448242188
4999.000000, 2000.0000000000, 2499500000.000000, 1.024000, 2.4409179688
5019.000000, 2000.0000000000, 2509500000.000000, 1.024000, 2.4506835938
4993.000000, 2000.0000000000, 2496500000.000000, 1.024000, 2.4379882812
5035.000000, 2000.0000000000, 2517500000.000000, 1.024000, 2.4584960938
5163.000000, 2100.0000000000, 2458571428.571429, 0.975238, 2.5209960938
5174.000000, 2000.0000000000, 2587000000.000000, 1.024000, 2.5263671875
5093.000000, 2100.0000000000, 2425238095.238095, 0.975238, 2.4868164062
5111.000000, 2000.0000000000, 2555500000.000000, 1.024000, 2.4956054688
4978.000000, 2000.0000000000, 2489000000.000000, 1.024000, 2.4306640625
4978.000000, 2000.0000000000, 2489000000.000000, 1.024000, 2.4306640625
4958.000000, 2000.0000000000, 2479000000.000000, 1.024000, 2.4208984375
5025.000000, 2000.0000000000, 2512500000.000000, 1.024000, 2.4536132812
4926.000000, 2000.0000000000, 2463000000.000000, 1.024000, 2.4052734375
4903.000000, 2000.0000000000, 2451500000.000000, 1.024000, 2.3940429688
4860.000000, 2000.0000000000, 2430000000.000000, 1.024000, 2.3730468750
