Cycles,Time,CPU Frequency,GFLOPS, CPE
5093.000000, 2000.0000000000, 2546500000.000000, 1.024000, 2.4868164062
5009.000000, 2000.0000000000, 2504500000.000000, 1.024000, 2.4458007812
5021.000000, 2000.0000000000, 2510500000.000000, 1.024000, 2.4516601562
5058.000000, 2100.0000000000, 2408571428.571429, 0.975238, 2.4697265625
5050.000000, 2000.0000000000, 2525000000.000000, 1.024000, 2.4658203125
4849.000000, 1900.0000000000, 2552105263.157895, 1.077895, 2.3676757812
4928.000000, 2000.0000000000, 2464000000.000000, 1.024000, 2.4062500000
4904.000000, 1900.0000000000, 2581052631.578948, 1.077895, 2.3945312500
4940.000000, 2000.0000000000, 2470000000.000000, 1.024000, 2.4121093750
4932.000000, 2000.0000000000, 2466000000.000000, 1.024000, 2.4082031250
5080.000000, 2000.0000000000, 2540000000.000000, 1.024000, 2.4804687500
4971.000000, 2000.0000000000, 2485500000.000000, 1.024000, 2.4272460938
5027.000000, 2000.0000000000, 2513500000.000000, 1.024000, 2.4545898438
5050.000000, 2000.0000000000, 2525000000.000000, 1.024000, 2.4658203125
5072.000000, 2000.0000000000, 2536000000.000000, 1.024000, 2.4765625000
5068.000000, 2100.0000000000, 2413333333.333333, 0.975238, 2.4746093750
5066.000000, 2000.0000000000, 2533000000.000000, 1.024000, 2.4736328125
5129.000000, 2100.0000000000, 2442380952.380953, 0.975238, 2.5043945312
5022.000000, 2000.0000000000, 2511000000.000000, 1.024000, 2.4521484375
5080.000000, 2000.0000000000, 2540000000.000000, 1.024000, 2.4804687500
