Cycles,Time,CPU Frequency,GFLOPS, CPE
320186.000000, 128200.0000000000, 2497550702.028081, 1.022402, 2.4428253174
329870.000000, 132100.0000000000, 2497123391.370174, 0.992218, 2.5167083740
320216.000000, 128300.0000000000, 2495837879.968823, 1.021606, 2.4430541992
384954.000000, 154300.0000000000, 2494841218.405703, 0.849462, 2.9369659424
291829.000000, 117000.0000000000, 2494264957.264957, 1.120274, 2.2264785767
298945.000000, 119800.0000000000, 2495367278.797997, 1.094090, 2.2807693481
299690.000000, 120100.0000000000, 2495337218.984180, 1.091357, 2.2864532471
298996.000000, 119700.0000000000, 2497878028.404344, 1.095004, 2.2811584473
379577.000000, 152100.0000000000, 2495575279.421433, 0.861749, 2.8959426880
298438.000000, 119600.0000000000, 2495301003.344482, 1.095920, 2.2769012451
292588.000000, 117200.0000000000, 2496484641.638225, 1.118362, 2.2322692871
291833.000000, 116900.0000000000, 2496432848.588537, 1.121232, 2.2265090942
306143.000000, 122700.0000000000, 2495052974.735126, 1.068231, 2.3356857300
305853.000000, 122600.0000000000, 2494722675.367047, 1.069103, 2.3334732056
305713.000000, 122500.0000000000, 2495616326.530612, 1.069976, 2.3324050903
308223.000000, 123500.0000000000, 2495732793.522267, 1.061312, 2.3515548706
350880.000000, 140600.0000000000, 2495590327.169274, 0.932233, 2.6770019531
298845.000000, 119700.0000000000, 2496616541.353384, 1.095004, 2.2800064087
318049.000000, 127400.0000000000, 2496459968.602826, 1.028823, 2.4265213013
322144.000000, 129000.0000000000, 2497240310.077519, 1.016062, 2.4577636719
