Cycles,Time,CPU Frequency,GFLOPS, CPE
236795.000000, 94800.0000000000, 2497837552.742616, 1.382616, 1.8066024780
226533.000000, 90700.0000000000, 2497607497.243660, 1.445116, 1.7283096313
193297.000000, 77400.0000000000, 2497377260.981912, 1.693437, 1.4747390747
214134.000000, 85800.0000000000, 2495734265.734266, 1.527646, 1.6337127686
229247.000000, 91900.0000000000, 2494526659.412405, 1.426246, 1.7490158081
195368.000000, 78300.0000000000, 2495121328.224776, 1.673972, 1.4905395508
366917.000000, 147000.0000000000, 2496034013.605442, 0.891646, 2.7993545532
194313.000000, 77800.0000000000, 2497596401.028278, 1.684730, 1.4824905396
322997.000000, 129400.0000000000, 2496112828.438949, 1.012921, 2.4642715454
181602.000000, 72800.0000000000, 2494532967.032967, 1.800440, 1.3855133057
191777.000000, 76800.0000000000, 2497096354.166667, 1.706667, 1.4631423950
179581.000000, 72000.0000000000, 2494180555.555555, 1.820444, 1.3700942993
191289.000000, 76600.0000000000, 2497245430.809399, 1.711123, 1.4594192505
196385.000000, 78700.0000000000, 2495362134.688691, 1.665464, 1.4982986450
221379.000000, 88700.0000000000, 2495817361.894025, 1.477700, 1.6889877319
197761.000000, 79200.0000000000, 2496982323.232323, 1.654949, 1.5087966919
185743.000000, 74400.0000000000, 2496545698.924731, 1.761720, 1.4171066284
183894.000000, 73700.0000000000, 2495169606.512890, 1.778453, 1.4029998779
190474.000000, 76300.0000000000, 2496382699.868938, 1.717851, 1.4532012939
210385.000000, 84300.0000000000, 2495670225.385528, 1.554828, 1.6051101685
