Cycles,Time,CPU Frequency,GFLOPS, CPE
238383.000000, 95500.0000000000, 2496157068.062827, 1.372482, 1.8187179565
236258.000000, 94600.0000000000, 2497441860.465117, 1.385539, 1.8025054932
236168.000000, 94600.0000000000, 2496490486.257928, 1.385539, 1.8018188477
251710.000000, 100800.0000000000, 2497123015.873016, 1.300317, 1.9203948975
240257.000000, 96200.0000000000, 2497474012.474013, 1.362495, 1.8330154419
280888.000000, 112500.0000000000, 2496782222.222222, 1.165084, 2.1430053711
250289.000000, 100300.0000000000, 2495403788.634098, 1.306800, 1.9095535278
256854.000000, 102900.0000000000, 2496151603.498542, 1.273780, 1.9596405029
257414.000000, 103200.0000000000, 2494321705.426357, 1.270078, 1.9639129639
244373.000000, 97900.0000000000, 2496149131.767109, 1.338836, 1.8644180298
249041.000000, 99700.0000000000, 2497903711.133400, 1.314664, 1.9000320435
248392.000000, 99500.0000000000, 2496402010.050251, 1.317307, 1.8950805664
327080.000000, 131100.0000000000, 2494889397.406560, 0.999786, 2.4954223633
252655.000000, 101200.0000000000, 2496590909.090909, 1.295178, 1.9276046753
264091.000000, 105800.0000000000, 2496134215.500945, 1.238866, 2.0148544312
252546.000000, 101100.0000000000, 2497982195.845697, 1.296459, 1.9267730713
264034.000000, 105700.0000000000, 2497956480.605487, 1.240038, 2.0144195557
251246.000000, 100600.0000000000, 2497475149.105368, 1.302903, 1.9168548584
263752.000000, 105700.0000000000, 2495288552.507096, 1.240038, 2.0122680664
259834.000000, 104100.0000000000, 2496003842.459174, 1.259097, 1.9823760986
