Cycles,Time,CPU Frequency,GFLOPS, CPE
328991.000000, 131800.0000000000, 2496138088.012139, 0.994476, 2.5100021362
320261.000000, 128300.0000000000, 2496188620.420888, 1.021606, 2.4433975220
328368.000000, 131600.0000000000, 2495197568.389058, 0.995988, 2.5052490234
336203.000000, 134700.0000000000, 2495939123.979213, 0.973066, 2.5650253296
328301.000000, 131600.0000000000, 2494688449.848024, 0.995988, 2.5047378540
336663.000000, 134900.0000000000, 2495648628.613788, 0.971623, 2.5685348511
381179.000000, 152700.0000000000, 2496260641.781271, 0.858363, 2.9081649780
345246.000000, 138300.0000000000, 2496355748.373102, 0.947737, 2.6340179443
347068.000000, 139200.0000000000, 2493304597.701149, 0.941609, 2.6479187012
336789.000000, 135000.0000000000, 2494733333.333333, 0.970904, 2.5694961548
345026.000000, 138200.0000000000, 2496570188.133141, 0.948423, 2.6323394775
357523.000000, 143300.0000000000, 2494926727.145848, 0.914669, 2.7276840210
353708.000000, 141700.0000000000, 2496175017.642908, 0.924996, 2.6985778809
328351.000000, 131600.0000000000, 2495068389.057751, 0.995988, 2.5051193237
327910.000000, 131400.0000000000, 2495509893.455099, 0.997504, 2.5017547607
339694.000000, 136100.0000000000, 2495914768.552535, 0.963057, 2.5916595459
327947.000000, 131400.0000000000, 2495791476.407915, 0.997504, 2.5020370483
320592.000000, 128500.0000000000, 2494879377.431907, 1.020016, 2.4459228516
305110.000000, 122300.0000000000, 2494766966.475879, 1.071725, 2.3278045654
305810.000000, 122500.0000000000, 2496408163.265306, 1.069976, 2.3331451416
