Cycles,Time,CPU Frequency,GFLOPS, CPE
2909758.000000, 1165800.0000000000, 2495932406.930863, 1.798895, 1.3874807358
3712126.000000, 1487200.0000000000, 2496050295.857988, 1.410134, 1.7700796127
2843364.000000, 1139200.0000000000, 2495930477.528090, 1.840899, 1.3558216095
2929597.000000, 1173700.0000000000, 2496035613.870666, 1.786787, 1.3969407082
2897876.000000, 1161000.0000000000, 2496017226.528854, 1.806332, 1.3818149567
3492094.000000, 1399000.0000000000, 2496135811.293781, 1.499036, 1.6651601791
3928207.000000, 1573800.0000000000, 2496001397.890456, 1.332540, 1.8731150627
3955445.000000, 1584799.9999999998, 2495863831.398284, 1.323291, 1.8861031532
3521048.000000, 1410700.0000000002, 2495958035.018076, 1.486604, 1.6789665222
3183897.000000, 1275600.0000000000, 2495999529.633114, 1.644051, 1.5182003975
4547648.000000, 1822000.0000000000, 2495964873.765093, 1.151016, 2.1684875488
2951512.000000, 1182500.0000000000, 2495993234.672305, 1.773490, 1.4073905945
2903048.000000, 1163000.0000000000, 2496171969.045572, 1.803226, 1.3842811584
2934033.000000, 1175499.9999999998, 2495987239.472565, 1.784051, 1.3990559578
2949465.000000, 1181700.0000000000, 2495950748.921046, 1.774691, 1.4064145088
2762539.000000, 1106800.0000000000, 2495969461.510661, 1.894789, 1.3172812462
3656193.000000, 1464900.0000000000, 2495865246.774524, 1.431601, 1.7434086800
3189288.000000, 1277700.0000000000, 2496116459.262738, 1.641349, 1.5207710266
3090762.000000, 1238200.0000000000, 2496173477.628816, 1.693710, 1.4737901688
2892624.000000, 1158900.0000000002, 2496008283.717318, 1.809606, 1.3793106079
