Cycles,Time,CPU Frequency,GFLOPS, CPE
4707497.000000, 1886000.0000000002, 2496021739.130435, 1.111958, 2.2447094917
4939879.000000, 1979100.0000000002, 2496022939.720075, 1.059649, 2.3555178642
4980670.000000, 1995500.0000000000, 2495950889.501378, 1.050941, 2.3749685287
5019180.000000, 2010900.0000000002, 2495986871.550052, 1.042892, 2.3933315277
5485931.000000, 2197900.0000000000, 2495987533.554757, 0.954162, 2.6158957481
4893772.000000, 1960700.0000000002, 2495931045.034936, 1.069594, 2.3335323334
4572362.000000, 1831900.0000000002, 2495967028.767946, 1.144796, 2.1802721024
4986175.000000, 1997600.0000000000, 2496082799.359231, 1.049836, 2.3775935173
5130139.000000, 2055300.0000000000, 2496053617.476768, 1.020363, 2.4462409019
5384281.000000, 2157100.0000000000, 2496073895.507858, 0.972209, 2.5674252510
6766955.000000, 2711100.0000000000, 2496018221.386153, 0.773543, 3.2267355919
5308786.000000, 2127000.0000000000, 2495903149.976493, 0.985967, 2.5314264297
5778967.000000, 2315300.0000000000, 2495990584.373515, 0.905780, 2.7556262016
4931516.000000, 1975700.0000000002, 2496085438.072582, 1.061473, 2.3515300751
4795129.000000, 1921200.0000000002, 2495903081.407454, 1.091584, 2.2864956856
5052239.000000, 2024100.0000000002, 2496042191.591324, 1.036091, 2.4090952873
5111858.000000, 2048000.0000000000, 2496024414.062500, 1.024000, 2.4375238419
5855803.000000, 2346100.0000000000, 2495973317.420400, 0.893889, 2.7922644615
5646262.000000, 2262100.0000000000, 2496026700.853189, 0.927082, 2.6923475266
4551043.000000, 1823399.9999999998, 2495910387.188768, 1.150133, 2.1701064110
