Cycles,Time,CPU Frequency,GFLOPS, CPE
4995778.000000, 2001500.0000000000, 2496016987.259555, 1.047790, 2.3821725845
4852524.000000, 1944200.0000000000, 2495897541.405205, 1.078671, 2.3138637543
5005995.000000, 2005600.0000000002, 2496008675.708017, 1.045648, 2.3870444298
4928141.000000, 1974400.0000000000, 2496019550.243112, 1.062172, 2.3499207497
5158579.000000, 2066700.0000000002, 2496046354.091063, 1.014735, 2.4598021507
5461166.000000, 2188000.0000000000, 2495962522.851920, 0.958479, 2.6040868759
5456267.000000, 2186000.0000000000, 2496005032.021958, 0.959356, 2.6017508507
6065652.000000, 2430100.0000000000, 2496050368.297601, 0.862990, 2.8923282623
5071445.000000, 2031800.0000000000, 2496035534.993602, 1.032165, 2.4182534218
6067019.000000, 2430700.0000000000, 2495996626.486197, 0.862777, 2.8929800987
5086116.000000, 2037700.0000000002, 2496008244.589488, 1.029176, 2.4252490997
5717030.000000, 2290400.0000000000, 2496083653.510303, 0.915627, 2.7260923386
6060184.000000, 2428000.0000000000, 2495957166.392092, 0.863736, 2.8897209167
5144325.000000, 2060999.9999999998, 2496033478.893741, 1.017541, 2.4530053139
5918986.000000, 2371400.0000000005, 2495988023.952096, 0.884352, 2.8223924637
5445977.000000, 2181900.0000000000, 2495979192.446950, 0.961159, 2.5968441963
4851488.000000, 1943700.0000000002, 2496006585.378402, 1.078948, 2.3133697510
5540166.000000, 2219599.9999999995, 2496020003.604253, 0.944833, 2.6417570114
5565310.000000, 2229699.9999999995, 2495990491.994439, 0.940553, 2.6537466049
5900653.000000, 2364000.0000000000, 2496046108.291032, 0.887120, 2.8136506081
