Cycles,Time,CPU Frequency,GFLOPS, CPE
5858747.000000, 2347200.0000000000, 2496057856.169053, 0.893470, 2.7936682701
5215145.000000, 2089399.9999999998, 2496001244.376376, 1.003710, 2.4867749214
6024064.000000, 2413500.0000000000, 2495986741.247151, 0.868926, 2.8724975586
5158796.000000, 2066800.0000000002, 2496030578.672344, 1.014686, 2.4599056244
5222171.000000, 2092199.9999999998, 2496019023.037951, 1.002367, 2.4901251793
4983667.000000, 1996700.0000000000, 2495951820.503831, 1.050309, 2.3763976097
5008909.000000, 2006800.0000000000, 2495968208.092485, 1.045023, 2.3884339333
4873344.000000, 1952500.0000000002, 2495950832.266325, 1.074086, 2.3237915039
5013736.000000, 2008700.0000000000, 2496010354.955942, 1.044034, 2.3907356262
5132062.000000, 2056099.9999999998, 2496017703.419095, 1.019966, 2.4471578598
5786895.000000, 2318500.0000000000, 2495965063.618719, 0.904530, 2.7594065666
4993177.000000, 2000500.0000000002, 2495964508.872782, 1.048314, 2.3809323311
5424557.000000, 2173300.0000000000, 2496000092.025951, 0.964962, 2.5866303444
5099377.000000, 2043000.0000000000, 2496023984.336760, 1.026506, 2.4315724373
5093613.000000, 2040699.9999999998, 2496012642.720635, 1.027663, 2.4288239479
5593016.000000, 2240700.0000000000, 2496102110.947472, 0.935936, 2.6669578552
6103498.000000, 2445300.0000000000, 2496011941.275099, 0.857626, 2.9103746414
5378553.000000, 2154800.0000000000, 2496079914.609244, 0.973247, 2.5646939278
5034434.000000, 2016900.0000000000, 2496124745.897169, 1.039790, 2.4006052017
5625096.000000, 2253600.0000000000, 2496048988.285410, 0.930579, 2.6822547913
