Cycles,Time,CPU Frequency,GFLOPS, CPE
5114385.000000, 2048999.9999999998, 2496039531.478770, 1.023500, 2.4387288094
5280580.000000, 2115600.0000000000, 2496020041.595765, 0.991280, 2.5179767609
5234190.000000, 2097000.0000000000, 2496037195.994277, 1.000072, 2.4958562851
4871781.000000, 1951800.0000000002, 2496045189.056256, 1.074471, 2.3230462074
5957522.000000, 2386899.9999999995, 2495924420.796850, 0.878609, 2.8407678604
5541983.000000, 2220400.0000000000, 2495939019.996397, 0.944493, 2.6426234245
5014273.000000, 2008900.0000000000, 2496029170.192643, 1.043931, 2.3909916878
5137131.000000, 2058100.0000000000, 2496055099.363491, 1.018975, 2.4495749474
5066076.000000, 2029599.9999999998, 2496095782.420181, 1.033283, 2.4156932831
4952920.000000, 1984299.9999999998, 2496054024.089099, 1.056872, 2.3617362976
4721173.000000, 1891500.0000000000, 2495994184.509648, 1.108724, 2.2512307167
4931873.000000, 1975900.0000000000, 2496013462.219748, 1.061365, 2.3517003059
4962685.000000, 1988300.0000000000, 2495943771.060705, 1.054746, 2.3663926125
5445199.000000, 2181600.0000000000, 2495965804.913825, 0.961291, 2.5964732170
5000765.000000, 2003499.9999999998, 2496014474.669329, 1.046744, 2.3845505714
4776982.000000, 1913800.0000000000, 2496071689.831748, 1.095805, 2.2778425217
5367651.000000, 2150500.0000000005, 2496001395.024413, 0.975193, 2.5594954491
5341942.000000, 2140200.0000000000, 2496001308.288945, 0.979886, 2.5472364426
5031039.000000, 2015700.0000000000, 2495926477.154338, 1.040409, 2.3989863396
5150129.000000, 2063399.9999999998, 2495943103.615392, 1.016357, 2.4557728767
