Cycles,Time,CPU Frequency,GFLOPS, CPE
5465726.000000, 2189800.0000000000, 2495993241.391908, 0.957691, 2.6062612534
6472396.000000, 2593100.0000000000, 2496007095.754117, 0.808743, 3.0862789154
5020342.000000, 2011299.9999999998, 2496068214.587580, 1.042685, 2.3938856125
5004736.000000, 2005100.0000000002, 2496003191.860755, 1.045909, 2.3864440918
5905238.000000, 2365800.0000000000, 2496085045.227830, 0.886445, 2.8158369064
5746057.000000, 2302100.0000000000, 2496006689.544329, 0.910973, 2.7399334908
5433612.000000, 2176899.9999999995, 2496031972.070375, 0.963366, 2.5909481049
5993609.000000, 2401300.0000000000, 2495985091.408820, 0.873340, 2.8579754829
5525822.000000, 2213900.0000000000, 2495967297.529247, 0.947266, 2.6349172592
5507322.000000, 2206500.0000000000, 2495953772.943576, 0.950443, 2.6260957718
6348155.000000, 2543300.0000000005, 2496030747.454095, 0.824579, 3.0270361900
5509845.000000, 2207499.9999999995, 2495966024.915062, 0.950012, 2.6272988319
5533156.000000, 2216800.0000000005, 2496010465.535907, 0.946027, 2.6384143829
4800101.000000, 1923199.9999999998, 2495892782.861897, 1.090449, 2.2888665199
5859597.000000, 2347600.0000000000, 2495994632.816494, 0.893317, 2.7940735817
5961477.000000, 2388400.0000000000, 2496012811.924301, 0.878057, 2.8426537514
5234809.000000, 2097300.0000000000, 2495975301.578220, 0.999929, 2.4961514473
5227121.000000, 2094100.0000000000, 2496118141.445012, 1.001457, 2.4924855232
5289552.000000, 2119200.0000000000, 2496013590.033975, 0.989596, 2.5222549438
5533056.000000, 2216699.9999999995, 2496077953.714982, 0.946069, 2.6383666992
