Cycles,Time,CPU Frequency,GFLOPS, CPE
101211943.000000, 40549500.0000000075, 2496009642.535666, 0.827493, 3.0163509548
104870578.000000, 42015300.0000000000, 2496009263.292182, 0.798624, 3.1253867745
100807496.000000, 40387399.9999999925, 2496013509.163749, 0.830814, 3.0042974949
103301124.000000, 41386500.0000000000, 2496010148.236744, 0.810758, 3.0786134005
113740019.000000, 45568700.0000000000, 2496011933.629882, 0.736348, 3.3897167146
105376381.000000, 42218000.0000000000, 2496005992.704534, 0.794790, 3.1404608786
116977477.000000, 46865799.9999999925, 2496009392.776823, 0.715968, 3.4862004817
108341569.000000, 43405900.0000000000, 2496010196.770485, 0.773039, 3.2288303673
94849817.000000, 38000600.0000000075, 2496008405.130445, 0.882997, 2.8267448246
95541706.000000, 38277800.0000000000, 2496008286.787642, 0.876603, 2.8473647237
95029966.000000, 38072800.0000000000, 2496006755.478977, 0.881323, 2.8321136832
108798531.000000, 43588900.0000000000, 2496014604.635584, 0.769793, 3.2424488962
102199016.000000, 40945000.0000000000, 2496007229.209916, 0.819500, 3.0457680225
104867525.000000, 42014099.9999999925, 2496007887.828134, 0.798647, 3.1252957880
107212235.000000, 42953400.0000000000, 2496012771.980798, 0.781182, 3.1951735914
108182167.000000, 43342100.0000000075, 2496006584.821686, 0.774176, 3.2240798175
106904450.000000, 42830100.0000000000, 2496012150.333527, 0.783431, 3.1860008836
110671763.000000, 44339500.0000000000, 2496008367.257186, 0.756762, 3.2982755601
95687138.000000, 38336000.0000000000, 2496012573.038397, 0.875272, 2.8516989350
96082956.000000, 38494600.0000000000, 2496011284.699672, 0.871666, 2.8634952307
