Cycles,Time,CPU Frequency,GFLOPS, CPE
80583570.000000, 32285000.0000000037, 2496006504.568685, 1.039320, 2.4015775323
79885344.000000, 32005199.9999999925, 2496011398.147801, 1.048406, 2.3807687759
87642791.000000, 35113199.9999999925, 2496006943.257806, 0.955607, 2.6119587123
88582169.000000, 35489500.0000000000, 2496010622.860282, 0.945475, 2.6399543583
87920182.000000, 35224199.9999999925, 2496016431.884898, 0.952596, 2.6202256083
92968550.000000, 37246800.0000000000, 2496014422.715508, 0.900868, 2.7706786990
82689515.000000, 33128600.0000000037, 2496015980.150082, 1.012854, 2.4643395841
92294387.000000, 36976799.9999999925, 2496007956.340192, 0.907446, 2.7505870759
84349869.000000, 33793900.0000000000, 2496008717.549617, 0.992914, 2.5138219893
86819949.000000, 34783500.0000000000, 2496009573.504679, 0.964665, 2.5874361098
85771679.000000, 34363500.0000000000, 2496011145.546874, 0.976456, 2.5561952293
88914164.000000, 35622500.0000000000, 2496011341.146747, 0.941945, 2.6498485804
91620894.000000, 36706999.9999999925, 2496006047.892773, 0.914115, 2.7305154204
93294315.000000, 37377400.0000000000, 2496008684.392173, 0.897720, 2.7803872526
84233455.000000, 33747300.0000000075, 2496005754.534437, 0.994285, 2.5103525817
85376609.000000, 34205300.0000000000, 2496005268.189433, 0.980972, 2.5444212258
100087063.000000, 40098800.0000000000, 2496011426.775864, 0.836794, 2.9828269184
87049758.000000, 34875600.0000000000, 2496007466.538210, 0.962118, 2.5942849517
90400466.000000, 36218000.0000000000, 2496009332.376166, 0.926457, 2.6941438317
90663747.000000, 36323500.0000000000, 2496008011.342519, 0.923766, 2.7019902170
