Cycles,Time,CPU Frequency,GFLOPS, CPE
217269566.000000, 87046700.0000000149, 2496011520.252922, 0.385476, 6.4751376510
219903868.000000, 88102100.0000000000, 2496011650.119577, 0.380858, 6.5536459684
220223485.000000, 88230200.0000000000, 2496010266.326043, 0.380306, 6.5631712973
221380633.000000, 88693800.0000000000, 2496010239.723633, 0.378318, 6.5976569951
221925506.000000, 88912100.0000000000, 2496010171.843877, 0.377389, 6.6138954759
220286765.000000, 88255500.0000000000, 2496011749.975922, 0.380196, 6.5650571883
221149561.000000, 88601200.0000000000, 2496010900.529564, 0.378713, 6.5907705128
220649935.000000, 88401000.0000000000, 2496011753.260710, 0.379571, 6.5758804977
223325112.000000, 89472800.0000000149, 2496011212.346098, 0.375024, 6.6556069851
213910627.000000, 85701000.0000000000, 2496010863.350486, 0.391529, 6.3750334680
215031706.000000, 86150099.9999999851, 2496012262.318906, 0.389488, 6.4084442258
215269753.000000, 86245500.0000000000, 2496011420.885727, 0.389057, 6.4155385792
215448802.000000, 86317300.0000000149, 2496009513.735949, 0.388734, 6.4208746552
214571443.000000, 85965799.9999999851, 2496009378.148055, 0.390323, 6.3947273195
219009997.000000, 87744000.0000000000, 2496011089.077316, 0.382413, 6.5270065367
220565070.000000, 88366999.9999999851, 2496011746.466441, 0.379717, 6.5733513236
222870439.000000, 89290700.0000000000, 2496009539.627307, 0.375789, 6.6420566738
216521671.000000, 86747099.9999999851, 2496010483.347570, 0.386808, 6.4528486431
222846741.000000, 89281100.0000000000, 2496012493.125645, 0.375829, 6.6413504183
220789675.000000, 88456999.9999999851, 2496011338.842602, 0.379330, 6.5800450742
