Cycles,Time,CPU Frequency,GFLOPS, CPE
272967691.000000, 109361600.0000000149, 2496010400.359907, 0.306821, 8.1350711286
291585354.000000, 116820499.9999999851, 2496011864.355999, 0.287231, 8.6899207234
269555814.000000, 107994700.0000000149, 2496009656.029416, 0.310704, 8.0333892703
269131513.000000, 107824699.9999999851, 2496009847.465377, 0.311194, 8.0207441151
266688621.000000, 106845900.0000000000, 2496011742.144528, 0.314045, 7.9479402602
275032297.000000, 110188800.0000000149, 2496009549.064878, 0.304518, 8.1966011822
305277040.000000, 122305999.9999999851, 2496010334.734191, 0.274348, 9.0979647636
293153557.000000, 117448800.0000000149, 2496011513.101879, 0.285694, 8.7366568148
280424308.000000, 112349000.0000000000, 2496010716.606289, 0.298662, 8.3572956324
274982387.000000, 110168800.0000000149, 2496009641.568212, 0.304573, 8.1951137483
284019868.000000, 113789600.0000000000, 2496009020.156499, 0.294881, 8.4644516706
272753945.000000, 109275899.9999999851, 2496011883.681581, 0.307062, 8.1287010014
268408834.000000, 107535199.9999999851, 2496009064.938736, 0.312032, 7.9992066026
270318138.000000, 108300100.0000000000, 2496010049.852216, 0.309828, 8.0561082959
270689917.000000, 108449000.0000000000, 2496011184.980959, 0.309403, 8.0671881735
277689399.000000, 111253300.0000000149, 2496010446.431701, 0.301604, 8.2757889926
269191833.000000, 107848899.9999999851, 2496009073.806038, 0.311124, 8.0225417912
267882685.000000, 107324399.9999999851, 2496009155.420389, 0.312645, 7.9835261405
270161860.000000, 108237500.0000000149, 2496009793.278669, 0.310007, 8.0514508486
276128596.000000, 110628000.0000000149, 2496010015.547601, 0.303309, 8.2292734385
