Cycles,Time,CPU Frequency,GFLOPS, CPE
847819974.000000, 339670100.0000000000, 2496010022.666111, 0.098785, 25.2670041919
843814457.000000, 338065300.0000000000, 2496010258.964762, 0.099254, 25.1476304829
842903573.000000, 337700400.0000000000, 2496009992.881264, 0.099362, 25.1204840243
842981516.000000, 337731500.0000000000, 2496010931.760881, 0.099352, 25.1228069067
860227595.000000, 344641099.9999999404, 2496009892.610023, 0.097361, 25.6367801130
844984694.000000, 338534099.9999999404, 2496010576.187155, 0.099117, 25.1825062633
842984923.000000, 337732900.0000000000, 2496010672.931183, 0.099352, 25.1229084432
842661529.000000, 337603400.0000000000, 2496010197.172185, 0.099390, 25.1132705510
841925990.000000, 337308700.0000000000, 2496010301.542771, 0.099477, 25.0913497806
840474389.000000, 336727100.0000000596, 2496010534.940609, 0.099649, 25.0480886996
849378171.000000, 340294400.0000000000, 2496009840.302985, 0.098604, 25.3134420812
879939053.000000, 352538200.0000000596, 2496010511.768653, 0.095180, 26.2242273390
930631248.000000, 372847500.0000000596, 2496010427.855893, 0.089995, 27.7349724770
966558490.000000, 387241400.0000000000, 2496010214.816907, 0.086650, 28.8056877255
921664099.000000, 369255000.0000000000, 2496009800.815155, 0.090871, 27.4677306116
973104752.000000, 389864099.9999999404, 2496010153.281618, 0.086067, 29.0007815361
865671294.000000, 346822000.0000000000, 2496010328.064540, 0.096748, 25.7990149856
873851008.000000, 350099100.0000000000, 2496010438.187359, 0.095843, 26.0427894592
866828637.000000, 347285700.0000000000, 2496010163.965865, 0.096619, 25.8335064948
869283878.000000, 348269300.0000000596, 2496010638.893523, 0.096346, 25.9066783786
