Cycles,Time,CPU Frequency,GFLOPS, CPE
290368372.000000, 116333000.0000000149, 2496010349.599855, 0.288434, 8.6536518335
302119502.000000, 121041000.0000000000, 2496009633.099528, 0.277215, 9.0038627982
279118759.000000, 111825900.0000000149, 2496011737.888986, 0.300060, 8.3183872402
289470795.000000, 115973400.0000000149, 2496010248.901903, 0.289329, 8.6269019544
273932483.000000, 109748100.0000000000, 2496011165.569153, 0.305740, 8.1638241708
271985272.000000, 108968000.0000000000, 2496010498.494971, 0.307929, 8.1057927608
276756426.000000, 110879500.0000000000, 2496010768.446827, 0.302621, 8.2479842305
279000842.000000, 111778700.0000000000, 2496010796.332396, 0.300186, 8.3148730397
270631134.000000, 108425499.9999999851, 2496010016.094000, 0.309470, 8.0654363036
302445864.000000, 121171699.9999999851, 2496010735.179914, 0.276916, 9.0135891438
300930955.000000, 120564800.0000000000, 2496010070.932809, 0.278310, 8.9684413373
281891449.000000, 112936800.0000000000, 2496010591.764597, 0.297108, 8.4010198414
299438847.000000, 119966999.9999999851, 2496010127.785141, 0.279697, 8.9239730537
310153015.000000, 124259499.9999999851, 2496010486.119774, 0.270035, 9.2432801425
365933817.000000, 146607500.0000000000, 2496010210.937367, 0.228873, 10.9056775868
306302044.000000, 122716700.0000000000, 2496009459.185262, 0.273430, 9.1285122633
309440595.000000, 123974100.0000000000, 2496010013.381827, 0.270657, 9.2220483720
316876849.000000, 126953400.0000000000, 2496009157.690932, 0.264305, 9.4436660111
290934552.000000, 116559900.0000000000, 2496008936.177879, 0.287873, 8.6705253124
315094657.000000, 126239399.9999999851, 2496008829.256159, 0.265800, 9.3905525506
