Cycles,Time,CPU Frequency,GFLOPS, CPE
1602.000000, 600.0000000000, 2670000000.000000, 3.413333, 0.7822265625
1924.000000, 800.0000000000, 2405000000.000000, 2.560000, 0.9394531250
1566.000000, 600.0000000000, 2610000000.000000, 3.413333, 0.7646484375
1574.000000, 700.0000000000, 2248571428.571429, 2.925714, 0.7685546875
1597.000000, 600.0000000000, 2661666666.666667, 3.413333, 0.7797851562
1568.000000, 700.0000000000, 2240000000.000000, 2.925714, 0.7656250000
1582.000000, 600.0000000000, 2636666666.666667, 3.413333, 0.7724609375
1607.000000, 600.0000000000, 2678333333.333333, 3.413333, 0.7846679688
1589.000000, 600.0000000000, 2648333333.333333, 3.413333, 0.7758789062
1595.000000, 600.0000000000, 2658333333.333333, 3.413333, 0.7788085938
1835.000000, 700.0000000000, 2621428571.428572, 2.925714, 0.8959960938
1518.000000, 600.0000000000, 2530000000.000000, 3.413333, 0.7412109375
1564.000000, 700.0000000000, 2234285714.285714, 2.925714, 0.7636718750
1605.000000, 700.0000000000, 2292857142.857143, 2.925714, 0.7836914062
1529.000000, 600.0000000000, 2548333333.333333, 3.413333, 0.7465820312
1529.000000, 600.0000000000, 2548333333.333333, 3.413333, 0.7465820312
1572.000000, 600.0000000000, 2620000000.000000, 3.413333, 0.7675781250
1590.000000, 600.0000000000, 2650000000.000000, 3.413333, 0.7763671875
1544.000000, 600.0000000000, 2573333333.333333, 3.413333, 0.7539062500
1578.000000, 600.0000000000, 2630000000.000000, 3.413333, 0.7705078125
