Cycles,Time,CPU Frequency,GFLOPS, CPE
4755.000000, 1900.0000000000, 2502631578.947369, 1.077895, 2.3217773438
4664.000000, 1900.0000000000, 2454736842.105263, 1.077895, 2.2773437500
4966.000000, 2000.0000000000, 2483000000.000000, 1.024000, 2.4248046875
4841.000000, 1900.0000000000, 2547894736.842105, 1.077895, 2.3637695312
4717.000000, 1900.0000000000, 2482631578.947369, 1.077895, 2.3032226562
4700.000000, 1900.0000000000, 2473684210.526316, 1.077895, 2.2949218750
4826.000000, 1900.0000000000, 2540000000.000000, 1.077895, 2.3564453125
4865.000000, 2000.0000000000, 2432500000.000000, 1.024000, 2.3754882812
4714.000000, 1900.0000000000, 2481052631.578948, 1.077895, 2.3017578125
4694.000000, 1900.0000000000, 2470526315.789474, 1.077895, 2.2919921875
4722.000000, 1900.0000000000, 2485263157.894737, 1.077895, 2.3056640625
5143.000000, 2100.0000000000, 2449047619.047619, 0.975238, 2.5112304688
4902.000000, 1900.0000000000, 2580000000.000000, 1.077895, 2.3935546875
4997.000000, 2000.0000000000, 2498500000.000000, 1.024000, 2.4399414062
4911.000000, 2000.0000000000, 2455500000.000000, 1.024000, 2.3979492188
4924.000000, 2000.0000000000, 2462000000.000000, 1.024000, 2.4042968750
4895.000000, 2000.0000000000, 2447500000.000000, 1.024000, 2.3901367188
4981.000000, 2000.0000000000, 2490500000.000000, 1.024000, 2.4321289062
4928.000000, 2000.0000000000, 2464000000.000000, 1.024000, 2.4062500000
4928.000000, 1900.0000000000, 2593684210.526316, 1.077895, 2.4062500000
