Cycles,Time,CPU Frequency,GFLOPS, CPE
2759.000000, 1100.0000000000, 2508181818.181818, 1.861818, 1.3471679688
2651.000000, 1100.0000000000, 2410000000.000000, 1.861818, 1.2944335938
2613.000000, 1000.0000000000, 2613000000.000000, 2.048000, 1.2758789062
2653.000000, 1100.0000000000, 2411818181.818182, 1.861818, 1.2954101562
2622.000000, 1100.0000000000, 2383636363.636364, 1.861818, 1.2802734375
2848.000000, 1200.0000000000, 2373333333.333333, 1.706667, 1.3906250000
2625.000000, 1100.0000000000, 2386363636.363636, 1.861818, 1.2817382812
2545.000000, 1000.0000000000, 2545000000.000000, 2.048000, 1.2426757812
2476.000000, 1000.0000000000, 2476000000.000000, 2.048000, 1.2089843750
2529.000000, 1000.0000000000, 2529000000.000000, 2.048000, 1.2348632812
2537.000000, 1000.0000000000, 2537000000.000000, 2.048000, 1.2387695312
2738.000000, 1100.0000000000, 2489090909.090909, 1.861818, 1.3369140625
2539.000000, 1000.0000000000, 2539000000.000000, 2.048000, 1.2397460938
2574.000000, 1000.0000000000, 2574000000.000000, 2.048000, 1.2568359375
2478.000000, 1000.0000000000, 2478000000.000000, 2.048000, 1.2099609375
2465.000000, 1000.0000000000, 2465000000.000000, 2.048000, 1.2036132812
2554.000000, 1000.0000000000, 2554000000.000000, 2.048000, 1.2470703125
2480.000000, 1000.0000000000, 2480000000.000000, 2.048000, 1.2109375000
2551.000000, 1000.0000000000, 2551000000.000000, 2.048000, 1.2456054688
2462.000000, 1000.0000000000, 2462000000.000000, 2.048000, 1.2021484375
