Cycles,Time,CPU Frequency,GFLOPS, CPE
333942.000000, 133800.0000000000, 2495829596.412556, 0.979611, 2.5477752686
390604.000000, 156500.0000000000, 2495872204.472843, 0.837521, 2.9800720215
334809.000000, 134100.0000000000, 2496711409.395973, 0.977420, 2.5543899536
342505.000000, 137200.0000000000, 2496392128.279883, 0.955335, 2.6131057739
338475.000000, 135600.0000000000, 2496128318.584071, 0.966608, 2.5823593140
340072.000000, 136200.0000000000, 2496857562.408223, 0.962349, 2.5945434570
307695.000000, 123300.0000000000, 2495498783.454988, 1.063033, 2.3475265503
296178.000000, 118700.0000000000, 2495181128.896378, 1.104229, 2.2596588135
296115.000000, 118600.0000000000, 2496753794.266442, 1.105160, 2.2591781616
289615.000000, 116100.0000000000, 2494530577.088717, 1.128958, 2.2095870972
294249.000000, 117900.0000000000, 2495750636.132315, 1.111722, 2.2449417114
296557.000000, 118800.0000000000, 2496271043.771044, 1.103300, 2.2625503540
299861.000000, 120100.0000000000, 2496761032.472939, 1.091357, 2.2877578735
305424.000000, 122300.0000000000, 2497334423.548651, 1.071725, 2.3302001953
305780.000000, 122500.0000000000, 2496163265.306122, 1.069976, 2.3329162598
305686.000000, 122500.0000000000, 2495395918.367347, 1.069976, 2.3321990967
305012.000000, 122200.0000000000, 2496006546.644845, 1.072602, 2.3270568848
310295.000000, 124400.0000000000, 2494332797.427653, 1.053633, 2.3673629761
302561.000000, 121200.0000000000, 2496377887.788779, 1.081452, 2.3083572388
301382.000000, 120700.0000000000, 2496951118.475559, 1.085932, 2.2993621826
