Cycles,Time,CPU Frequency,GFLOPS, CPE
361046.000000, 144600.0000000000, 2496860304.287690, 0.906445, 2.7545623779
545733.000000, 218600.0000000000, 2496491308.325709, 0.599597, 4.1636123657
351872.000000, 140900.0000000000, 2497317246.273953, 0.930248, 2.6845703125
390648.000000, 156500.0000000000, 2496153354.632588, 0.837521, 2.9804077148
386467.000000, 154800.0000000000, 2496556847.545220, 0.846718, 2.9485092163
381004.000000, 152600.0000000000, 2496749672.346003, 0.858925, 2.9068298340
419829.000000, 168200.0000000000, 2496010701.545779, 0.779263, 3.2030410767
377386.000000, 151200.0000000000, 2495939153.439154, 0.866878, 2.8792266846
359629.000000, 144100.0000000000, 2495690492.713393, 0.909591, 2.7437515259
340971.000000, 136600.0000000000, 2496127379.209370, 0.959531, 2.6014022827
349562.000000, 140000.0000000000, 2496871428.571429, 0.936229, 2.6669464111
365379.000000, 146400.0000000000, 2495758196.721312, 0.895301, 2.7876205444
357994.000000, 143400.0000000000, 2496471408.647141, 0.914031, 2.7312774658
386139.000000, 154700.0000000000, 2496050420.168067, 0.847266, 2.9460067749
379246.000000, 152000.0000000000, 2495039473.684210, 0.862316, 2.8934173584
350931.000000, 140600.0000000000, 2495953058.321479, 0.932233, 2.6773910522
332207.000000, 133100.0000000000, 2495920360.631104, 0.984763, 2.5345382690
331592.000000, 132800.0000000000, 2496927710.843373, 0.986988, 2.5298461914
315669.000000, 126500.0000000000, 2495407114.624506, 1.036142, 2.4083633423
323527.000000, 129700.0000000000, 2494425597.532768, 1.010578, 2.4683151245
