Cycles,Time,CPU Frequency,GFLOPS, CPE
336730.000000, 134900.0000000000, 2496145292.809488, 0.971623, 2.5690460205
351566.000000, 140800.0000000000, 2496917613.636364, 0.930909, 2.6822357178
349653.000000, 140100.0000000000, 2495738758.029979, 0.935560, 2.6676406860
348575.000000, 139700.0000000000, 2495168217.609162, 0.938239, 2.6594161987
345975.000000, 138600.0000000000, 2496212121.212121, 0.945685, 2.6395797729
338991.000000, 135900.0000000000, 2494415011.037528, 0.964474, 2.5862960815
347334.000000, 139200.0000000000, 2495215517.241379, 0.941609, 2.6499481201
362322.000000, 145200.0000000000, 2495330578.512397, 0.902700, 2.7642974854
364802.000000, 146100.0000000000, 2496933607.118412, 0.897139, 2.7832183838
417588.000000, 167300.0000000000, 2496043036.461446, 0.783455, 3.1859436035
378858.000000, 151800.0000000000, 2495770750.988142, 0.863452, 2.8904571533
382906.000000, 153400.0000000000, 2496127770.534550, 0.854446, 2.9213409424
392588.000000, 157300.0000000000, 2495791481.246027, 0.833261, 2.9952087402
392092.000000, 157100.0000000000, 2495811584.977721, 0.834322, 2.9914245605
408431.000000, 163700.0000000000, 2494996945.632254, 0.800684, 3.1160812378
378924.000000, 151800.0000000000, 2496205533.596838, 0.863452, 2.8909606934
340321.000000, 136400.0000000000, 2495021994.134897, 0.960938, 2.5964431763
364493.000000, 146000.0000000000, 2496527397.260274, 0.897753, 2.7808609009
335142.000000, 134300.0000000000, 2495472822.040208, 0.975964, 2.5569305420
320884.000000, 128600.0000000000, 2495209953.343701, 1.019222, 2.4481506348
