Cycles,Time,CPU Frequency,GFLOPS, CPE
5914480.000000, 2369500.0000000005, 2496087782.232538, 0.885061, 2.8202438354
7168713.000000, 2872299.9999999995, 2495809281.760262, 0.730130, 3.4183087349
5984785.000000, 2397800.0000000000, 2495948369.338561, 0.874615, 2.8537678719
5957683.000000, 2386900.0000000000, 2495991872.302987, 0.878609, 2.8408446312
5953788.000000, 2385300.0000000000, 2496033203.370646, 0.879198, 2.8389873505
6553933.000000, 2625700.0000000000, 2496070762.082492, 0.798702, 3.1251587868
7172248.000000, 2873500.0000000000, 2495997215.938750, 0.729825, 3.4199943542
6537363.000000, 2619200.0000000000, 2495938836.285889, 0.800684, 3.1172575951
6195262.000000, 2482000.0000000000, 2496076551.168413, 0.844944, 2.9541311264
5736530.000000, 2298300.0000000000, 2495988339.207240, 0.912480, 2.7353906631
6474843.000000, 2594100.0000000000, 2495988204.001388, 0.808431, 3.0874457359
5855657.000000, 2346000.0000000005, 2496017476.555840, 0.893927, 2.7921948433
5877411.000000, 2354700.0000000000, 2496033889.667474, 0.890624, 2.8025679588
6705997.000000, 2686599.9999999995, 2496090597.781583, 0.780597, 3.1976685524
5845326.000000, 2341900.0000000005, 2495975916.990478, 0.895492, 2.7872686386
5947506.000000, 2382800.0000000000, 2496015611.885177, 0.880121, 2.8359918594
5739376.000000, 2299400.0000000000, 2496032008.350004, 0.912043, 2.7367477417
6258107.000000, 2507200.0000000000, 2496054164.007658, 0.836452, 2.9840979576
5762098.000000, 2308499.9999999995, 2496035520.901018, 0.908448, 2.7475824356
6314606.000000, 2529899.9999999995, 2495990355.350014, 0.828947, 3.0110387802
