Cycles,Time,CPU Frequency,GFLOPS, CPE
5301302.000000, 2123900.0000000000, 2496022411.601299, 0.987406, 2.5278577805
5864320.000000, 2349500.0000000000, 2495986380.080868, 0.892595, 2.7963256836
5287368.000000, 2118299.9999999995, 2496043053.391871, 0.990017, 2.5212135315
5381742.000000, 2156100.0000000000, 2496053986.364269, 0.972660, 2.5662145615
5123692.000000, 2052700.0000000002, 2496074438.544356, 1.021655, 2.4431667328
6053316.000000, 2425200.0000000000, 2496006927.263731, 0.864734, 2.8864459991
5062864.000000, 2028400.0000000005, 2495988956.813251, 1.033895, 2.4141616821
5102876.000000, 2044400.0000000002, 2496026217.961260, 1.025803, 2.4332408905
5127263.000000, 2054199.9999999998, 2495990166.488171, 1.020909, 2.4448695183
5216110.000000, 2089800.0000000002, 2495985261.747535, 1.003518, 2.4872350693
4824645.000000, 1932900.0000000000, 2496065497.439081, 1.084977, 2.3005700111
5911379.000000, 2368299.9999999995, 2496043153.316725, 0.885509, 2.8187651634
5127032.000000, 2053999.9999999998, 2496120740.019475, 1.021009, 2.4447593689
5156110.000000, 2065700.0000000000, 2496059447.160769, 1.015226, 2.4586248398
5269771.000000, 2111300.0000000000, 2495983990.906077, 0.993299, 2.5128226280
6438783.000000, 2579600.0000000000, 2496039308.419910, 0.812976, 3.0702509880
5437313.000000, 2178400.0000000000, 2496012210.796915, 0.962703, 2.5927128792
4899855.000000, 1963300.0000000000, 2495724036.061733, 1.068177, 2.3364329338
4874730.000000, 1953000.0000000000, 2496021505.376344, 1.073811, 2.3244524002
5157415.000000, 2066199.9999999998, 2496087019.649599, 1.014980, 2.4592471123
