Cycles,Time,CPU Frequency,GFLOPS, CPE
5963039.000000, 2389000.0000000000, 2496039765.592298, 0.877837, 2.8433985710
5926522.000000, 2374400.0000000000, 2496008254.716981, 0.883235, 2.8259859085
6132110.000000, 2456700.0000000000, 2496076036.960150, 0.853646, 2.9240179062
5823368.000000, 2333100.0000000000, 2495978740.731216, 0.898869, 2.7767982483
6110824.000000, 2448300.0000000000, 2495945758.281256, 0.856575, 2.9138679504
6051073.000000, 2424399.9999999995, 2495905378.650388, 0.865019, 2.8853764534
6906076.000000, 2766900.0000000000, 2495961545.411833, 0.757943, 3.2930736542
6646498.000000, 2662799.9999999995, 2496056031.245306, 0.787574, 3.1692972183
6280225.000000, 2516100.0000000000, 2496015659.155042, 0.833493, 2.9946446419
6057734.000000, 2426900.0000000000, 2496078948.452759, 0.864128, 2.8885526657
6031872.000000, 2416600.0000000000, 2496015890.093520, 0.867811, 2.8762207031
6296638.000000, 2522700.0000000000, 2495991596.305545, 0.831312, 3.0024709702
5829513.000000, 2335500.0000000000, 2496044958.253051, 0.897946, 2.7797284126
6972851.000000, 2793599.9999999995, 2496009092.210768, 0.750699, 3.3249144554
6174612.000000, 2473799.9999999995, 2496002910.502062, 0.847745, 2.9442844391
6843937.000000, 2742000.0000000005, 2495965353.756382, 0.764826, 3.2634434700
6562973.000000, 2629399.9999999995, 2495996425.039933, 0.797578, 3.1294693947
6131434.000000, 2456500.0000000000, 2496004070.832485, 0.853715, 2.9236955643
6898411.000000, 2763799.9999999995, 2495987770.460960, 0.758793, 3.2894186974
5847413.000000, 2342700.0000000005, 2496014427.796986, 0.895186, 2.7882637978
