Cycles,Time,CPU Frequency,GFLOPS, CPE
7780035.000000, 3117000.0000000000, 2496000962.463908, 0.672811, 3.7098097801
7565675.000000, 3031200.0000000000, 2495933953.549749, 0.691855, 3.6075949669
7502480.000000, 3005800.0000000000, 2496001064.608424, 0.697702, 3.5774612427
8185816.000000, 3279600.0000000005, 2495979997.560678, 0.639454, 3.9033012390
7966345.000000, 3191700.0000000000, 2495956700.191121, 0.657064, 3.7986493111
8536635.000000, 3420099.9999999995, 2496019122.247888, 0.613184, 4.0705847740
7844402.000000, 3142799.9999999995, 2495991472.572229, 0.667288, 3.7405023575
8660945.000000, 3469900.0000000005, 2496021499.178650, 0.604384, 4.1298604012
7585636.000000, 3039099.9999999995, 2496013951.498799, 0.690057, 3.6171131134
8377005.000000, 3356100.0000000000, 2496053454.903012, 0.624878, 3.9944672585
7246271.000000, 2903200.0000000000, 2495959975.199780, 0.722359, 3.4552912712
7290760.000000, 2921000.0000000000, 2495980828.483396, 0.717957, 3.4765052795
7630841.000000, 3057200.0000000005, 2496022831.348947, 0.685971, 3.6386685371
7411282.000000, 2969299.9999999995, 2495969420.402115, 0.706278, 3.5339746475
7779395.000000, 3116700.0000000000, 2496035871.274104, 0.672876, 3.7095046043
7529567.000000, 3016700.0000000009, 2495961481.088606, 0.695181, 3.5903773308
7222800.000000, 2893699.9999999995, 2496043128.175001, 0.724730, 3.4440994263
7610635.000000, 3049100.0000000000, 2496026696.402217, 0.687794, 3.6290335655
7235953.000000, 2899000.0000000005, 2496016902.380131, 0.723405, 3.4503712654
7467639.000000, 2991800.0000000000, 2496035497.025202, 0.700967, 3.5608477592
