Cycles,Time,CPU Frequency,GFLOPS, CPE
7447877.000000, 2983899.9999999995, 2496020979.255337, 0.702822, 3.5514245033
7327961.000000, 2935899.9999999995, 2495984536.258047, 0.714313, 3.4942440987
7733448.000000, 3098300.0000000000, 2496029435.496885, 0.676872, 3.6875953674
7607964.000000, 3048100.0000000000, 2495969292.346052, 0.688019, 3.6277599335
8021774.000000, 3213900.0000000000, 2495962537.726749, 0.652526, 3.8250799179
7287589.000000, 2919699.9999999995, 2496006096.516766, 0.718277, 3.4749932289
7843666.000000, 3142499.9999999995, 2495995544.948290, 0.667351, 3.7401514053
7065760.000000, 2830800.0000000000, 2496029390.984880, 0.740834, 3.3692169189
7820834.000000, 3133400.0000000000, 2495957745.579881, 0.669290, 3.7292642593
7142907.000000, 2861700.0000000000, 2496036272.145927, 0.732834, 3.4060034752
7166003.000000, 2870999.9999999995, 2495995471.960989, 0.730460, 3.4170165062
7182766.000000, 2877700.0000000000, 2496009312.993015, 0.728760, 3.4250097275
7403939.000000, 2966299.9999999995, 2496018271.921249, 0.706993, 3.5304732323
7459221.000000, 2988400.0000000005, 2496058425.913532, 0.701764, 3.5568337440
7354951.000000, 2946700.0000000000, 2495995859.775342, 0.711695, 3.5071139336
7032460.000000, 2817500.0000000000, 2495992901.508430, 0.744331, 3.3533382416
9093569.000000, 3643300.0000000000, 2495970411.440178, 0.575619, 4.3361515999
6987504.000000, 2799500.0000000000, 2495982854.081086, 0.749117, 3.3319015503
7468207.000000, 2992000.0000000000, 2496058489.304813, 0.700920, 3.5611186028
7299484.000000, 2924500.0000000005, 2495976748.162079, 0.717098, 3.4806652069
