Cycles,Time,CPU Frequency,GFLOPS, CPE
7641167.000000, 3061400.0000000000, 2495971450.970144, 0.685030, 3.6435923576
6863527.000000, 2749800.0000000000, 2496009527.965670, 0.762656, 3.2727847099
7240974.000000, 2901000.0000000000, 2496026887.280248, 0.722907, 3.4527654648
8028400.000000, 3216500.0000000000, 2496004974.351003, 0.651998, 3.8282394409
7304694.000000, 2926499.9999999995, 2496051255.766274, 0.716608, 3.4831495285
7210298.000000, 2888700.0000000000, 2496035586.942223, 0.725985, 3.4381380081
6930562.000000, 2776599.9999999995, 2496060649.715479, 0.755295, 3.3047494888
6752367.000000, 2705200.0000000000, 2496069421.854207, 0.775230, 3.2197794914
6722857.000000, 2693399.9999999995, 2496048488.898790, 0.778626, 3.2057080269
6746547.000000, 2702900.0000000000, 2496040179.066928, 0.775890, 3.2170042992
9193822.000000, 3683500.0000000005, 2495947332.699878, 0.569337, 4.3839559555
6748757.000000, 2703800.0000000005, 2496026703.158517, 0.775631, 3.2180581093
6761999.000000, 2709200.0000000000, 2495939391.702347, 0.774085, 3.2243723869
6834738.000000, 2738299.9999999995, 2495978526.823212, 0.765859, 3.2590570450
7584798.000000, 3038699.9999999995, 2496066739.066048, 0.690148, 3.6167135239
9169615.000000, 3673700.0000000000, 2496016277.867001, 0.570856, 4.3724131584
8075555.000000, 3235400.0000000000, 2495998949.125301, 0.648189, 3.8507246971
8028830.000000, 3216600.0000000000, 2496061058.260275, 0.651978, 3.8284444809
7045123.000000, 2822499.9999999995, 2496057750.221435, 0.743012, 3.3593764305
7269766.000000, 2912599.9999999995, 2495971297.122846, 0.720027, 3.4664945602
