Cycles,Time,CPU Frequency,GFLOPS, CPE
47662984.000000, 19095700.0000000000, 2496006116.560273, 1.757172, 1.4204676151
48295964.000000, 19349200.0000000000, 2496018646.765758, 1.734151, 1.4393318892
48235846.000000, 19325200.0000000000, 2496007596.299133, 1.736305, 1.4375402331
48472125.000000, 19419900.0000000000, 2496002811.548978, 1.727838, 1.4445818961
46797934.000000, 18749100.0000000000, 2496009621.795179, 1.789656, 1.3946871161
62958866.000000, 25223800.0000000037, 2496010355.299360, 1.330269, 1.8763204217
47624035.000000, 19080100.0000000000, 2496005524.080062, 1.758609, 1.4193068445
47903278.000000, 19191900.0000000037, 2496015402.331192, 1.748364, 1.4276289344
47073770.000000, 18859600.0000000000, 2496011050.075293, 1.779170, 1.4029076695
47103132.000000, 18871400.0000000000, 2496006231.652130, 1.778057, 1.4037827253
48845388.000000, 19569400.0000000000, 2496008462.190971, 1.714638, 1.4557060003
48486681.000000, 19425600.0000000000, 2496019736.842105, 1.727331, 1.4450156987
47923892.000000, 19200200.0000000000, 2496010041.562067, 1.747608, 1.4282432795
50341653.000000, 20168800.0000000000, 2496016272.658760, 1.663680, 1.5002981722
47852860.000000, 19171800.0000000000, 2496002461.949321, 1.750197, 1.4261263609
49683662.000000, 19905200.0000000000, 2496014207.342805, 1.685712, 1.4806885123
47999918.000000, 19230700.0000000000, 2496004721.616998, 1.744837, 1.4305090308
47401338.000000, 18990900.0000000037, 2496002717.090817, 1.766869, 1.4126699567
47141920.000000, 18886900.0000000037, 2496011521.213116, 1.776598, 1.4049386978
47974524.000000, 19220500.0000000037, 2496008116.334122, 1.745763, 1.4297522306
