Cycles,Time,CPU Frequency,GFLOPS, CPE
47578413.000000, 19061800.0000000000, 2496008404.243041, 1.760297, 1.4179472029
47662656.000000, 19095600.0000000037, 2496002010.934456, 1.757181, 1.4204578400
47030206.000000, 18842200.0000000000, 2496003969.812442, 1.780813, 1.4016093612
47469309.000000, 19018100.0000000000, 2496006909.207544, 1.764342, 1.4146956503
50520862.000000, 20240600.0000000000, 2496016027.192870, 1.657779, 1.5056390166
48444843.000000, 19408900.0000000000, 2496011778.101799, 1.728817, 1.4437688291
54051771.000000, 21655300.0000000000, 2496006566.521821, 1.549479, 1.6108683050
47411666.000000, 18994900.0000000000, 2496020826.642941, 1.766497, 1.4129777551
47347521.000000, 18969300.0000000000, 2496007812.623555, 1.768881, 1.4110660851
48214068.000000, 19316500.0000000000, 2496004348.613879, 1.737087, 1.4368911982
47350690.000000, 18970600.0000000000, 2496003816.431742, 1.768760, 1.4111605287
49278337.000000, 19742900.0000000000, 2496002968.155641, 1.699570, 1.4686088860
46893639.000000, 18787399.9999999963, 2496015361.359209, 1.786007, 1.3975393474
46701196.000000, 18710400.0000000000, 2496002009.577561, 1.793357, 1.3918040991
47382223.000000, 18983199.9999999963, 2496008207.256943, 1.767586, 1.4121002853
47919375.000000, 19198400.0000000037, 2496008781.981832, 1.747772, 1.4281086624
51365109.000000, 20578900.0000000037, 2496008484.418506, 1.630526, 1.5307995379
47700667.000000, 19110700.0000000000, 2496018827.149189, 1.755793, 1.4215906560
47204743.000000, 18912100.0000000000, 2496007476.694814, 1.774231, 1.4068109691
46685158.000000, 18703900.0000000000, 2496011954.726020, 1.793981, 1.3913261294
