Cycles,Time,CPU Frequency,GFLOPS, CPE
113018219.000000, 45279500.0000000000, 2496012963.924072, 0.741051, 3.3682053983
117474709.000000, 47064900.0000000075, 2496015268.278483, 0.712940, 3.5010191500
119475282.000000, 47866500.0000000000, 2496010403.935947, 0.701000, 3.5606408715
123408728.000000, 49442400.0000000000, 2496010064.236364, 0.678657, 3.6778666973
119781273.000000, 47989100.0000000000, 2496009989.768510, 0.699209, 3.5697601140
119049516.000000, 47695900.0000000000, 2496011523.003026, 0.703508, 3.5479520559
119074693.000000, 47706000.0000000000, 2496010837.211252, 0.703359, 3.5487023890
118065912.000000, 47301800.0000000000, 2496013090.410936, 0.709369, 3.5186383724
119483343.000000, 47869700.0000000000, 2496011944.925496, 0.700953, 3.5608811080
129647885.000000, 51942099.9999999925, 2496007766.339828, 0.645997, 3.8638080657
114766645.000000, 45980000.0000000000, 2496012287.951283, 0.729761, 3.4203125536
114355426.000000, 45815300.0000000000, 2496009542.663695, 0.732385, 3.4080572724
117841254.000000, 47211900.0000000075, 2496007447.274945, 0.710720, 3.5119430423
118292162.000000, 47392500.0000000000, 2496010170.385610, 0.708011, 3.5253811479
117889582.000000, 47231200.0000000000, 2496010730.195294, 0.710429, 3.5133833289
116888103.000000, 46829900.0000000000, 2496014362.618754, 0.716517, 3.4835369289
114897980.000000, 46032600.0000000000, 2496013260.167794, 0.728928, 3.4242266417
114974594.000000, 46063300.0000000075, 2496012964.768047, 0.728442, 3.4265099168
114430243.000000, 45845300.0000000000, 2496008162.232552, 0.731906, 3.4102869928
118447398.000000, 47454600.0000000000, 2496015096.534372, 0.707085, 3.5300075412
