Cycles,Time,CPU Frequency,GFLOPS, CPE
88839780.000000, 35592699.9999999925, 2496011260.736050, 0.942734, 2.6476317644
86649048.000000, 34715100.0000000000, 2496004562.855933, 0.966566, 2.5823428631
89641796.000000, 35914099.9999999925, 2496005635.669556, 0.934297, 2.6715337038
93142861.000000, 37316700.0000000000, 2496010124.153529, 0.899180, 2.7758735716
88411089.000000, 35420900.0000000000, 2496014754.001169, 0.947306, 2.6348557770
89861151.000000, 36001900.0000000000, 2496011349.401004, 0.932018, 2.6780709922
89743801.000000, 35954900.0000000000, 2496010307.357273, 0.933237, 2.6745736897
87265411.000000, 34961900.0000000000, 2496014547.264308, 0.959743, 2.6007119119
92388474.000000, 37014500.0000000000, 2496007618.635940, 0.906521, 2.7533910871
89578853.000000, 35888899.9999999925, 2496004419.193678, 0.934953, 2.6696578562
91171837.000000, 36526999.9999999925, 2496012182.768911, 0.918620, 2.7171324790
89415180.000000, 35823200.0000000000, 2496013198.150919, 0.936668, 2.6647800207
90041613.000000, 36074299.9999999925, 2496004440.834611, 0.930148, 2.6834491789
91860288.000000, 36802900.0000000000, 2496006782.074239, 0.911733, 2.7376499176
91556981.000000, 36681400.0000000000, 2496005632.282301, 0.914753, 2.7286106646
87627905.000000, 35107300.0000000000, 2496002398.361594, 0.955768, 2.6115150750
89170010.000000, 35725000.0000000000, 2496011476.557033, 0.939242, 2.6574733853
87463012.000000, 35041200.0000000000, 2496005045.489310, 0.957571, 2.6066008806
86731073.000000, 34747899.9999999925, 2496009053.784545, 0.965654, 2.5847873986
89361917.000000, 35801900.0000000000, 2496010463.131845, 0.937225, 2.6631926596
