Cycles,Time,CPU Frequency,GFLOPS, CPE
245104679.000000, 98198599.9999999851, 2496009912.564945, 0.341700, 7.3046886623
245090982.000000, 98193100.0000000000, 2496010228.824632, 0.341719, 7.3042804599
243357322.000000, 97498600.0000000000, 2496008373.453568, 0.344153, 7.2526133657
210081732.000000, 84167000.0000000000, 2496010693.026958, 0.398665, 6.2609235048
235538809.000000, 94366100.0000000000, 2496010844.996243, 0.355577, 7.0196035206
214356689.000000, 85879700.0000000000, 2496011152.810268, 0.390714, 6.3883271515
276003391.000000, 110577800.0000000000, 2496010871.983346, 0.303446, 8.2255420387
215274952.000000, 86247599.9999999851, 2496010926.680859, 0.389048, 6.4156935215
223181027.000000, 89415100.0000000000, 2496010483.687878, 0.375266, 6.6513129175
212491104.000000, 85132300.0000000000, 2496010374.440723, 0.394145, 6.3327283859
212437195.000000, 85110699.9999999851, 2496010431.120882, 0.394245, 6.3311217725
213634309.000000, 85590300.0000000000, 2496010751.218304, 0.392035, 6.3667985499
214309566.000000, 85860900.0000000149, 2496008846.867433, 0.390800, 6.3869227767
218693106.000000, 87617100.0000000000, 2496009409.122192, 0.382967, 6.5175624490
381467913.000000, 152831000.0000000000, 2496011365.495220, 0.219553, 11.3686297238
249558098.000000, 99982799.9999999851, 2496010293.770529, 0.335602, 7.4374108911
219437521.000000, 87915300.0000000000, 2496010603.387578, 0.381668, 6.5397477448
218085811.000000, 87373799.9999999851, 2496009227.022288, 0.384033, 6.4994636476
339422242.000000, 135985899.9999999702, 2496010556.976863, 0.246749, 10.1155710816
352888616.000000, 141381100.0000000000, 2496009834.412096, 0.237333, 10.5169003010
