Cycles,Time,CPU Frequency,GFLOPS, CPE
132578494.000000, 53116200.0000000000, 2496008637.666098, 0.631717, 3.9511470199
135345918.000000, 54224900.0000000000, 2496010467.515846, 0.618801, 4.0336226821
133476238.000000, 53475799.9999999925, 2496011990.470456, 0.627469, 3.9779018760
137740518.000000, 55184300.0000000000, 2496009154.777718, 0.608043, 4.1049873233
135123753.000000, 54135900.0000000075, 2496010096.811912, 0.619818, 4.0270016491
135672219.000000, 54355700.0000000000, 2496007208.075694, 0.617312, 4.0433472097
133272768.000000, 53394299.9999999925, 2496011147.257292, 0.628427, 3.9718379974
139601517.000000, 55929800.0000000000, 2496013162.929244, 0.599938, 4.1604494154
133119207.000000, 53332800.0000000000, 2496010091.350914, 0.629152, 3.9672615230
137098660.000000, 54927200.0000000075, 2496006714.341892, 0.610889, 4.0858584642
137735179.000000, 55182099.9999999925, 2496011913.283474, 0.608067, 4.1048282087
139298449.000000, 55808400.0000000000, 2496012231.133665, 0.601243, 4.1514172852
135220594.000000, 54174699.9999999925, 2496010019.437118, 0.619375, 4.0298877358
134304215.000000, 53807599.9999999925, 2496008277.641077, 0.623600, 4.0025775135
138682597.000000, 55561700.0000000000, 2496010687.217994, 0.603913, 4.1330634654
136729293.000000, 54779199.9999999925, 2496007480.941671, 0.612540, 4.0748504698
141071289.000000, 56518800.0000000075, 2496006443.873543, 0.593686, 4.2042520344
136902853.000000, 54848699.9999999925, 2496009075.876001, 0.611763, 4.0800229609
137921100.000000, 55256600.0000000075, 2496011336.202372, 0.607247, 4.1103690863
135240342.000000, 54182599.9999999925, 2496010564.277093, 0.619284, 4.0304762721
