Cycles,Time,CPU Frequency,GFLOPS, CPE
4514.000000, 1800.0000000000, 2507777777.777778, 1.137778, 2.2041015625
4662.000000, 1800.0000000000, 2590000000.000000, 1.137778, 2.2763671875
4567.000000, 1800.0000000000, 2537222222.222222, 1.137778, 2.2299804688
4712.000000, 1900.0000000000, 2480000000.000000, 1.077895, 2.3007812500
4629.000000, 1900.0000000000, 2436315789.473684, 1.077895, 2.2602539062
4720.000000, 1900.0000000000, 2484210526.315789, 1.077895, 2.3046875000
4604.000000, 1900.0000000000, 2423157894.736842, 1.077895, 2.2480468750
4732.000000, 1900.0000000000, 2490526315.789474, 1.077895, 2.3105468750
4924.000000, 2000.0000000000, 2462000000.000000, 1.024000, 2.4042968750
4938.000000, 2000.0000000000, 2469000000.000000, 1.024000, 2.4111328125
4940.000000, 2000.0000000000, 2470000000.000000, 1.024000, 2.4121093750
4907.000000, 2000.0000000000, 2453500000.000000, 1.024000, 2.3959960938
4848.000000, 2000.0000000000, 2424000000.000000, 1.024000, 2.3671875000
4852.000000, 1900.0000000000, 2553684210.526316, 1.077895, 2.3691406250
4859.000000, 1900.0000000000, 2557368421.052631, 1.077895, 2.3725585938
4873.000000, 1900.0000000000, 2564736842.105263, 1.077895, 2.3793945312
4893.000000, 2000.0000000000, 2446500000.000000, 1.024000, 2.3891601562
4926.000000, 1900.0000000000, 2592631578.947369, 1.077895, 2.4052734375
4924.000000, 1900.0000000000, 2591578947.368421, 1.077895, 2.4042968750
4952.000000, 2000.0000000000, 2476000000.000000, 1.024000, 2.4179687500
