Cycles,Time,CPU Frequency,GFLOPS, CPE
4930.000000, 2000.0000000000, 2465000000.000000, 1.024000, 2.4072265625
21901.000000, 8800.0000000000, 2488750000.000000, 0.232727, 10.6938476562
4922.000000, 1900.0000000000, 2590526315.789474, 1.077895, 2.4033203125
4926.000000, 2000.0000000000, 2463000000.000000, 1.024000, 2.4052734375
4926.000000, 2000.0000000000, 2463000000.000000, 1.024000, 2.4052734375
4932.000000, 2000.0000000000, 2466000000.000000, 1.024000, 2.4082031250
4934.000000, 2000.0000000000, 2467000000.000000, 1.024000, 2.4091796875
4934.000000, 2000.0000000000, 2467000000.000000, 1.024000, 2.4091796875
4954.000000, 2000.0000000000, 2477000000.000000, 1.024000, 2.4189453125
4966.000000, 2000.0000000000, 2483000000.000000, 1.024000, 2.4248046875
4931.000000, 2000.0000000000, 2465500000.000000, 1.024000, 2.4077148438
4926.000000, 2000.0000000000, 2463000000.000000, 1.024000, 2.4052734375
4952.000000, 2000.0000000000, 2476000000.000000, 1.024000, 2.4179687500
23146.000000, 9300.0000000000, 2488817204.301075, 0.220215, 11.3017578125
4990.000000, 2000.0000000000, 2495000000.000000, 1.024000, 2.4365234375
4936.000000, 2000.0000000000, 2468000000.000000, 1.024000, 2.4101562500
4930.000000, 2000.0000000000, 2465000000.000000, 1.024000, 2.4072265625
4942.000000, 2000.0000000000, 2471000000.000000, 1.024000, 2.4130859375
4928.000000, 1900.0000000000, 2593684210.526316, 1.077895, 2.4062500000
22058.000000, 8800.0000000000, 2506590909.090909, 0.232727, 10.7705078125
