Cycles,Time,CPU Frequency,GFLOPS, CPE
1586.000000, 600.0000000000, 2643333333.333333, 3.413333, 0.7744140625
1580.000000, 700.0000000000, 2257142857.142857, 2.925714, 0.7714843750
1621.000000, 700.0000000000, 2315714285.714286, 2.925714, 0.7915039062
1615.000000, 700.0000000000, 2307142857.142857, 2.925714, 0.7885742188
1623.000000, 600.0000000000, 2705000000.000000, 3.413333, 0.7924804688
1627.000000, 700.0000000000, 2324285714.285715, 2.925714, 0.7944335938
1617.000000, 700.0000000000, 2310000000.000000, 2.925714, 0.7895507812
1658.000000, 700.0000000000, 2368571428.571429, 2.925714, 0.8095703125
1651.000000, 700.0000000000, 2358571428.571429, 2.925714, 0.8061523438
1629.000000, 700.0000000000, 2327142857.142857, 2.925714, 0.7954101562
1619.000000, 700.0000000000, 2312857142.857143, 2.925714, 0.7905273438
1574.000000, 600.0000000000, 2623333333.333333, 3.413333, 0.7685546875
1617.000000, 700.0000000000, 2310000000.000000, 2.925714, 0.7895507812
1617.000000, 600.0000000000, 2695000000.000000, 3.413333, 0.7895507812
1696.000000, 700.0000000000, 2422857142.857143, 2.925714, 0.8281250000
1651.000000, 700.0000000000, 2358571428.571429, 2.925714, 0.8061523438
1614.000000, 700.0000000000, 2305714285.714286, 2.925714, 0.7880859375
1615.000000, 600.0000000000, 2691666666.666667, 3.413333, 0.7885742188
1625.000000, 600.0000000000, 2708333333.333333, 3.413333, 0.7934570312
1639.000000, 700.0000000000, 2341428571.428572, 2.925714, 0.8002929688
