Cycles,Time,CPU Frequency,GFLOPS, CPE
4847.000000, 1900.0000000000, 2551052631.578948, 1.077895, 2.3666992188
4816.000000, 1900.0000000000, 2534736842.105263, 1.077895, 2.3515625000
4909.000000, 2000.0000000000, 2454500000.000000, 1.024000, 2.3969726562
4834.000000, 2000.0000000000, 2417000000.000000, 1.024000, 2.3603515625
4972.000000, 2000.0000000000, 2486000000.000000, 1.024000, 2.4277343750
4928.000000, 1900.0000000000, 2593684210.526316, 1.077895, 2.4062500000
4992.000000, 2000.0000000000, 2496000000.000000, 1.024000, 2.4375000000
5043.000000, 2000.0000000000, 2521500000.000000, 1.024000, 2.4624023438
4852.000000, 1900.0000000000, 2553684210.526316, 1.077895, 2.3691406250
4926.000000, 2000.0000000000, 2463000000.000000, 1.024000, 2.4052734375
4930.000000, 2000.0000000000, 2465000000.000000, 1.024000, 2.4072265625
4932.000000, 2000.0000000000, 2466000000.000000, 1.024000, 2.4082031250
4951.000000, 2000.0000000000, 2475500000.000000, 1.024000, 2.4174804688
5042.000000, 2100.0000000000, 2400952380.952381, 0.975238, 2.4619140625
4990.000000, 2000.0000000000, 2495000000.000000, 1.024000, 2.4365234375
4990.000000, 2000.0000000000, 2495000000.000000, 1.024000, 2.4365234375
4996.000000, 2000.0000000000, 2498000000.000000, 1.024000, 2.4394531250
4944.000000, 2000.0000000000, 2472000000.000000, 1.024000, 2.4140625000
5005.000000, 2000.0000000000, 2502500000.000000, 1.024000, 2.4438476562
5054.000000, 2100.0000000000, 2406666666.666667, 0.975238, 2.4677734375
